﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
spółdzielnie produkcyjne;ha;—;—;—;—;166 739;655 946;695 072;1 364 341;1 674 556;1 875 011;1 962 569;238 309;205 466;217 830;251 350;247 140;226 069;213 662;208 554;211 866;215 610;220 482;226 867;236 587;246 086;258 584;267 065;277 615;287 580;323 908;390 245;473 059;546 888;654 835;754 857;779 989;742 868;718 133;704 408;694 919;695 699;697 494;701 112;704 863;696 437;674 540;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;76 711;104 779;114 705;122 636;121 502;122 357;115 585;105 521;96 091;98 631;111 844;123 351;131 582;155 092;232 993;340 937;411 458;424 843;357 034;273 236;169 130;115 867;100 678;85 829;74 644;67 458;62 837;59 267;56 236;53 468;49 993;.;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;359 608;347 904;230 998;203 507;161 670;181 104;154 584;133 236;114 530;107 430;102 069;122 755;132 417;127 783;117 843;117 711;129 970;141 678;166 079;175 044;180 691;248 955;378 937;544 918;636 166;687 891;592 278;627 583;565 363
gospodarstwa indywidualne;ha;19 047 300;—;—;—;18 301 223;17 325 809;17 119 187;16 428 273;16 071 384;15 767 837;15 629 493;17 424 443;17 585 099;17 708 834;17 726 556;17 552 457;17 430 572;17 300 736;17 178 372;16 643 166;16 605 817;16 568 759;16 513 677;16 382 133;15 832 753;15 754 700;15 625 710;15 552 362;15 449 436;15 178 995;14 882 149;14 632 660;14 444 946;14 249 980;14 118 657;14 160 525;14 316 071;14 384 176;14 424 683;14 425 189;14 384 667;14 369 672;14 294 526;14 273 777;14 227 638;14 210 732;14 267 055;14 601 579;14 977 041;15 205 429;15 172 658;15 293 069;15 396 341
indywidualne gospodarstwa rolne;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;14 247 000;.;.;.;.;.;.;.;.;.;13 653 600;13 640 800;13 703 600;13 739 200;13 774 700;13 714 900;13 655 100;13 614 100;13 537 311;13 522 702;13 399 796;13 396 499;13 408 393;13 418 779;13 617 228;13 819 931;14 259 525;13 936 491;.
o powierzchni użytków rolnych 1,01 - 1,99 ha;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;800 400;.;.;.;.;.;.;.;.;.;683 200;674 300;667 800;660 800;653 700;620 600;587 400;616 300;611 700;580 101;563 670;562 238;568 249;571 979;587 232;618 345;650 634;630 285;.
o powierzchni użytków rolnych 2,00 - 4,99 ha;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2 883 300;.;.;.;.;.;.;.;.;.;2 962 100;2 905 400;2 843 000;2 809 800;2 776 600;2 682 900;2 589 300;2 597 400;2 579 010;2 568 601;2 504 002;2 513 021;2 523 249;2 530 475;2 195 609;2 275 463;2 199 048;2 263 362;.
o powierzchni użytków rolnych 5,00 - 6,99 ha;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2 309 700;.;.;.;.;.;.;.;.;.;2 180 000;2 139 400;2 106 400;2 086 800;2 067 200;2 032 800;1 998 300;1 955 200;1 942 204;1 939 503;1 915 785;1 913 345;1 912 585;1 912 698;1 600 818;1 608 494;1 541 820;1 504 175;.
o powierzchni użytków rolnych 7,00 - 9,99 ha;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 281 000;.;.;.;.;.;.;.;.;.;2 944 700;2 894 200;2 868 500;2 854 900;2 841 200;2 814 500;2 787 900;2 736 200;2 718 302;2 732 102;2 707 144;2 703 300;2 702 085;2 702 545;2 279 159;2 256 771;2 171 527;2 070 807;.
o powierzchni użytków rolnych 10,00 - 14,99 ha;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 110 500;.;.;.;.;.;.;.;.;.;2 895 700;2 902 700;2 947 100;2 976 600;3 006 000;3 021 100;3 036 100;3 010 300;2 997 996;3 005 293;2 995 976;2 993 941;2 992 484;2 992 078;2 714 509;2 655 807;2 631 547;2 498 978;.
o powierzchni użytków rolnych 15,00 ha i więcej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 862 100;.;.;.;.;.;.;.;.;.;1 987 900;2 124 800;2 270 800;2 350 300;2 430 000;2 543 000;2 656 100;2 698 700;2 688 099;2 697 102;2 713 219;2 710 654;2 709 741;2 709 004;4 239 901;4 405 051;5 064 956;4 968 884;.
indywidualne działki rolne;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 585 753;.;.;.;.;.;.;.;.;.;465 057;519 725;612 471;644 976;649 983;710 289;729 567;755 572;757 215;751 075;827 842;814 233;858 662;1 182 800;1 359 813;1 385 498;913 126;1 356 578;.
pozostałe formy własności;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12 549;36 020;286 173;589 839;825 351;965 470;997 785;991 013
grunty orne;ha;15 985 713;15 985 713;15 985 713;15 985 713;15 985 713;15 939 653;15 939 653;15 939 653;15 913 763;15 901 451;15 994 540;15 994 540;15 984 341;15 972 909;15 961 038;15 943 483;15 829 398;15 733 023;15 616 178;15 195 565;15 175 060;15 153 865;15 129 718;15 103 403;15 087 960;14 980 234;14 843 391;14 799 812;14 763 684;14 780 580;14 763 306;14 739 106;14 709 517;14 651 659;14 620 683;14 581 481;14 550 953;14 534 065;14 534 750;14 511 249;14 483 495;14 480 349;14 463 996;14 414 239;14 387 820;14 359 548;14 336 953;14 305 156;14 300 102;14 285 615;14 087 103;14 059 013;14 114 114
gospodarstwa państwowe;ha;—;—;—;—;1 624 709;1 975 422;2 076 169;2 082 357;2 101 282;2 198 935;2 234 172;2 179 474;2 071 674;1 952 339;1 914 757;1 924 246;1 943 245;1 967 781;2 000 108;2 033 151;2 046 401;2 059 119;2 084 914;2 178 925;2 232 545;2 259 674;2 297 316;2 333 079;2 373 646;2 451 462;2 526 834;2 605 915;2 661 412;2 737 532;2 802 133;2 796 276;2 725 239;2 706 203;2 713 925;2 717 254;2 723 036;2 725 448;2 738 018;2 741 645;2 733 827;2 729 856;2 607 398;2 013 901;1 413 922;1 018 103;901 952;764 688;739 875
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;782 813;729 844;661 239;636 638;621 156;609 772;607 223;608 585;612 137;615 512;610 559;596 421;562 055;519 778;481 323;452 337;426 454;396 863;370 844
spółdzielnie produkcyjne;ha;—;—;—;—;138 176;530 350;554 202;1 093 639;1 336 772;1 485 441;1 544 601;192 823;165 413;175 879;199 981;194 759;178 266;168 542;164 212;166 087;168 673;173 327;179 026;186 681;193 550;203 195;209 403;216 851;225 444;251 850;302 633;366 374;421 697;503 601;578 192;600 233;574 279;559 738;553 115;549 544;551 502;556 143;562 199;567 569;564 547;552 870;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;32 808;49 814;57 727;63 726;65 516;67 239;65 144;59 370;55 947;59 303;73 589;78 948;84 765;101 130;161 270;246 922;305 322;317 069;264 610;204 621;129 611;86 960;76 900;68 041;60 228;55 721;52 442;49 938;47 943;46 012;43 551;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;185 252;169 048;99 381;73 035;63 182;78 469;66 669;50 920;43 313;37 497;32 398;41 525;46 465;45 186;43 398;41 436;46 891;51 074;66 698;69 724;76 854;97 797;171 773;303 781;376 319;399 799;322 337;369 285;332 360
gospodarstwa indywidualne;ha;.;.;.;.;14 222 828;13 433 881;13 309 282;12 763 657;12 475 709;12 217 075;12 215 767;13 622 243;13 747 254;13 844 691;13 846 300;13 791 670;13 658 073;13 538 973;13 388 132;12 930 811;12 892 747;12 856 275;12 806 408;12 681 850;12 417 310;12 274 728;12 158 343;12 092 082;12 000 282;11 837 529;11 620 248;11 410 575;11 266 026;11 108 419;11 003 339;11 013 836;11 118 010;11 146 038;11 156 271;11 142 787;11 106 345;11 095 242;11 047 143;10 983 823;10 940 693;10 925 124;10 967 941;11 229 328;11 533 991;11 721 990;11 624 974;11 692 363;11 831 216
pozostałe formy własności;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 350;27 786;238 368;494 547;693 386;811 386;835 814;839 819
sady;ha;298 705;298 705;298 705;298 705;298 705;296 100;296 100;296 100;309 390;321 702;228 613;228 613;238 812;250 244;262 115;231 899;238 978;237 871;241 044;229 133;227 065;226 676;228 536;228 896;238 116;296 375;303 448;306 541;313 742;303 541;274 421;278 987;278 712;279 441;279 882;276 248;270 151;264 606;264 959;264 058;259 778;258 850;237 662;264 352;271 779;276 288;282 630;289 655;292 480;289 939;262 050;261 827;265 183
gospodarstwa państwowe;ha;.;.;.;.;18 513;22 569;22 172;22 253;24 601;27 577;21 835;20 948;19 580;19 870;18 792;18 803;18 956;21 520;20 762;21 630;20 929;20 237;19 766;20 001;22 342;22 138;23 013;23 150;24 314;25 997;27 200;28 866;29 792;30 528;30 645;30 265;29 308;28 296;27 681;26 781;26 037;25 252;23 450;22 985;23 794;24 828;23 016;19 650;12 742;8907;7398;5641;4477
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5696;5419;4827;4310;4242;3877;3645;3458;3307;3303;3413;3647;3898;3467;3436;3086;2855;2578;2164
spółdzielnie produkcyjne;ha;.;.;.;.;2744;7478;10 538;12 816;18 253;18 607;20 121;4272;3771;4019;3840;4378;3966;3592;3412;3327;3161;3122;3074;2942;2798;2775;2828;2652;2762;3032;3055;3279;3839;4502;4814;4738;4342;3964;3916;3570;3423;3266;3119;3144;3221;3455;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;493;683;709;707;665;541;424;364;329;285;316;436;377;437;746;906;1137;1309;1117;882;681;485;346;326;307;222;192;188;159;192;192;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1171;560;1160;1704;1758;2273;3044;2203;2680;2845;2760;3057;3096;2810;2309;2004;2268;2719;3157;3635;2953;4293;5341;8170;10 179;11 295;12 647;11 726;11 567
gospodarstwa indywidualne;ha;.;.;.;.;277 448;266 053;263 390;261 031;266 536;275 518;186 657;203 393;215 461;226 355;239 483;208 225;215 373;212 050;216 163;203 511;202 434;202 893;205 332;205 624;211 520;270 586;276 011;278 658;284 471;271 493;240 216;243 502;241 092;240 449;240 781;237 507;232 920;229 190;230 727;231 396;227 828;227 421;207 748;234 313;240 125;243 452;249 581;255 534;260 707;260 446;232 270;234 881;240 892
pozostałe formy własności;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;68;794;2834;5416;6205;6880;7001;6083
łąki;ha;2 398 065;2 398 065;2 398 065;2 398 065;2 398 065;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 389 900;2 364 449;2 392 345;2 405 573;2 421 985;2 539 193;2 539 693;2 541 080;2 541 802;2 544 813;2 522 690;2 519 139;2 548 442;2 558 108;2 536 519;2 544 754;2 555 934;2 546 412;2 529 915;2 513 599;2 503 513;2 515 351;2 520 365;2 525 605;2 522 960;2 517 677;2 510 193;2 504 726;2 501 743;2 479 345;2 475 405;2 446 939;2 443 868;2 436 429;2 425 282;2 417 340;2 759 896;2 709 478;2 615 743
gospodarstwa państwowe;ha;.;.;.;.;209 439;258 509;273 861;266 224;258 013;259 593;268 548;263 813;253 712;245 533;246 701;251 411;267 738;279 586;292 429;304 683;311 547;315 799;323 643;354 357;425 349;413 597;443 406;444 513;448 820;451 893;465 293;466 560;474 382;484 694;495 960;484 160;467 890;459 350;453 855;446 747;442 399;438 869;435 493;428 574;421 722;415 414;385 287;314 306;250 505;193 804;193 788;180 406;183 402
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;149 730;136 384;122 342;112 055;103 171;96 815;94 106;92 442;90 501;89 593;85 511;78 846;70 562;63 920;57 795;51 420;46 577;42 674;38 800
spółdzielnie produkcyjne;ha;.;.;.;.;17 483;79 016;84 640;148 630;179 522;207 115;223 739;23 115;19 652;21 127;25 845;26 393;23 602;22 791;22 295;22 695;23 484;24 623;24 829;27 203;29 343;31 290;32 657;34 977;35 861;42 579;53 549;65 368;77 363;93 737;110 665;113 500;105 552;97 743;92 577;89 057;87 845;86 748;85 268;85 011;81 472;75 268;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;16 516;20 954;22 049;24 142;23 880;24 777;23 072;20 464;18 902;19 671;21 536;22 668;24 540;29 370;38 893;53 814;63 297;64 337;54 105;39 065;22 884;16 790;14 312;10 594;7758;6261;5694;5233;4582;4039;3578;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;83 521;89 912;61 349;61 971;46 341;45 134;40 923;36 318;29 370;26 973;26 800;33 737;34 297;32 343;29 584;32 692;34 977;39 897;45 257;46 854;48 739;71 131;106 345;123 142;131 096;145 140;103 320;111 652;109 448
gospodarstwa indywidualne;ha;.;.;.;.;2 171 143;2 052 375;2 031 399;1 975 046;1 952 365;1 923 192;1 897 613;2 102 972;2 116 536;2 123 240;2 117 354;2 070 129;2 080 051;2 081 147;2 083 119;2 187 935;2 179 885;2 177 586;2 172 866;2 144 351;1 964 806;1 962 804;1 988 362;1 992 107;1 976 127;1 966 255;1 942 355;1 914 869;1 884 463;1 854 090;1 831 023;1 861 070;1 895 836;1 921 857;1 936 350;1 941 423;1 938 711;1 933 518;1 930 492;1 912 911;1 899 692;1 880 197;1 877 308;1 908 034;1 930 057;1 949 691;2 324 852;2 279 027;2 194 706
pozostałe formy własności;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1351;4366;27 027;55 829;77 285;91 359;95 719;89 387
pastwiska;ha;1 757 702;1 757 702;1 757 702;1 757 702;1 757 702;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 789 700;1 781 592;1 801 730;1 807 249;1 839 748;1 672 995;1 680 231;1 682 218;1 679 618;1 679 553;1 694 479;1 712 040;1 675 786;1 661 419;1 643 016;1 579 861;1 557 417;1 546 933;1 540 997;1 545 904;1 542 851;1 536 705;1 550 063;1 554 374;1 553 004;1 550 701;1 550 390;1 547 332;1 538 456;1 569 025;1 584 769;1 590 944;1 600 087;1 610 412;1 629 759;1 629 333;1 365 079;1 426 731;1 447 662
gospodarstwa państwowe;ha;.;.;.;.;119 562;177 098;228 892;251 905;272 917;273 800;286 136;275 766;267 222;258 347;244 597;250 655;271 092;285 726;296 094;300 888;299 388;303 858;305 286;288 571;325 931;339 347;360 208;360 072;356 403;362 384;363 836;359 684;362 348;368 570;369 372;366 685;361 872;354 031;347 449;340 440;334 590;330 007;323 912;313 855;311 254;306 852;288 599;237 715;191 088;147 717;139 047;123 722;130 135
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;89 854;77 472;70 327;65 808;61 668;59 099;58 183;55 846;54 434;52 691;50 422;45 619;40 711;36 245;33 766;28 182;25 649;22 040;20 288
spółdzielnie produkcyjne;ha;.;.;.;.;8336;39 102;45 692;109 256;140 009;163 848;174 108;18 099;16 630;16 805;21 684;21 610;20 235;18 737;18 635;19 757;20 292;19 410;19 938;19 761;20 395;21 324;22 177;23 135;23 513;26 447;31 008;38 038;43 989;52 995;61 186;61 518;58 695;56 688;54 800;52 748;52 929;51 337;50 526;49 139;47 197;42 947;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;26 894;33 328;34 220;34 061;31 441;29 800;26 945;25 323;20 913;19 372;16 403;21 299;21 900;24 155;32 084;39 295;41 702;42 128;37 202;28 668;15 954;11 632;9120;6868;6351;5254;4509;3908;3552;3225;2672;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;89 664;88 384;69 108;66 797;50 389;55 228;43 948;43 795;39 167;40 115;40 111;44 436;48 559;47 444;42 552;41 579;45 834;47 988;50 967;54 831;52 145;75 734;95 478;109 825;118 572;131 657;153 974;134 920;111 988
gospodarstwa indywidualne;ha;.;.;.;.;1 629 804;1 573 500;1 515 116;1 428 539;1 376 774;1 352 052;1 329 456;1 495 835;1 505 848;1 514 548;1 523 419;1 482 433;1 477 075;1 468 566;1 490 958;1 320 909;1 330 751;1 332 005;1 329 071;1 350 308;1 239 117;1 246 582;1 202 994;1 189 515;1 188 556;1 103 718;1 079 330;1 063 714;1 053 365;1 047 022;1 043 514;1 048 112;1 069 305;1 087 091;1 101 335;1 109 583;1 111 783;1 113 491;1 109 143;1 142 730;1 147 128;1 161 959;1 172 225;1 208 683;1 252 286;1 273 302;990 549;1 086 798;1 129 527
pozostałe formy własności;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;780;3074;17 944;34 047;48 475;55 860;59 251;55 724
Grunty Państwowego Funduszu Ziemi (stan w dniu 1 I);ha;—;—;—;—;—;—;—;—;—;—;—;613 500;705 317;866 572;889 190;973 226;920 317;947 209;1 007 446;1 016 881;1 053 504;1 068 210;1 090 543;1 076 887;1 122 261;1 084 739;1 064 558;964 514;861 946;854 447;925 914;918 559;871 460;817 546;932 000;889 000;998 899;864 008;816 122;806 248;781 182;762 431;779 200;799 108;783 977;771 006;799 026;684 948;.;.;.;.;.
Przybyło gruntów Państwowego Funduszu Ziemi;ha;—;—;—;—;—;—;—;—;—;—;—;500 600;350 400;227 795;233 600;152 912;214 537;224 553;171 842;229 876;167 751;170 709;149 728;179 915;154 828;157 244;117 009;128 875;246 259;375 035;326 831;240 782;232 613;239 035;205 000;308 000;144 754;96 704;96 514;87 455;106 645;122 221;120 474;90 669;80 746;112 060;28 945;10 435;.;.;.;.;.
od gospodarstw państwowych;ha;—;—;—;—;—;—;—;—;—;—;—;119 500;91 783;97 564;39 800;30 200;9500;6954;5165;4207;3500;5500;8900;10 700;15 000;25 700;13 700;24 163;17 300;10 240;9194;15 110;14 220;10 674;43 100;140 341;64 209;24 888;15 660;12 433;12 350;8970;12 620;18 919;26 405;70 278;—;—;.;.;.;.;.
od spółdzielni produkcyjnych;ha;—;—;—;—;—;—;—;—;—;—;—;381 100;15 980;9724;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1720;1784;1280;2006;1880;2085;.;.;22 756;18 125;9824;6989;4773;5544;5913;6521;.;.;—;—;.;.;.;.;.
od kółek rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3307;2275;3860;11 442;33 784;23 974;.;.;21 205;11 408;12 421;6450;2927;2825;2496;3448;.;.;—;—;.;.;.;.;.
od indywidualnych gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;50 181;44 145;36 220;41 056;68 360;72 647;73 868;68 400;62 800;71 100;89 400;106 000;111 200;117 300;90 200;104 700;223 932;358 922;311 380;209 848;159 416;202 302;161 900;41 520;36 584;42 283;58 609;61 583;86 595;104 882;99 445;61 781;35 956;17 104;6244;753;.;.;.;.;.
za emeryturę lub rentę;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;18 998;22 197;25 449;40 325;57 695;63 119;61 549;54 360;64 708;173 660;314 602;251 699;158 372;130 552;153 789;127 100;30 889;24 491;32 558;47 524;55 336;80 018;95 486;90 184;54 373;32 726;13 378;6244;753;.;.;.;.;.
Rozdysponowano na trwałe użytkowanie grunty Państwowego Funduszu Ziemi;ha;—;—;—;—;—;—;—;—;—;—;—;408 700;189 200;205 000;149 600;205 800;187 600;164 300;162 400;193 300;139 313;148 400;163 384;134 541;192 322;177 425;224 824;231 503;254 521;304 574;335 489;287 905;293 965;286 725;242 169;203 900;285 038;144 246;101 034;103 456;112 778;101 746;93 320;105 294;93 304;78 250;11 941;11 666;.;.;.;.;.
na cele rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;408 700;166 800;137 500;115 100;132 500;125 900;117 600;117 700;157 400;114 013;128 200;145 084;118 841;171 200;161 533;201 439;209 504;230 432;283 616;298 578;242 364;251 088;260 832;213 498;188 700;263 390;120 662;84 152;70 868;66 963;77 018;79 559;92 781;82 376;67 349;—;—;.;.;.;.;.
gospodarstwom państwowym;ha;—;—;—;—;—;—;—;—;—;—;—;38 800;11 200;35 200;26 700;59 700;79 400;76 500;69 000;64 900;48 500;59 700;77 400;56 350;106 400;93 100;100 501;71 831;106 098;117 371;110 688;74 521;82 178;70 297;39 000;7200;7431;6550;6000;8000;6900;8700;8800;5000;1900;.;—;—;.;.;.;.;.
