﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
od 100000 do 199999 ludności;.;.;.;.;.;.;.;.;.;.;17;18;19;21;21;21;22;22;23;23;23;23;23;24;14;14;14;13;13;15;15;16;18;20;22;22;22;21;21;22;22;23;22;23;23;23;22;22;22;22;22;22;22;
od 200000 i więcej ludności;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10;10;10;12;12;14;16;17;15;15;15;16;16;17;18;18;18;18;19;20;20;20;20;20;20;20;20;20;20;
Udział ludności miast wyposażonych w sieć gazową w ludności ogółem miast (stan w dniu 31 XII);%;.;.;.;.;.;.;.;.;.;65,8;66,5;66,6;67,6;69,8;69,3;70,6;71,9;72,2;72,5;73,3;73,4;73,5;73,7;74,5;75,2;76;76,1;78,7;79,8;82,5;83,5;84,1;84,8;85,3;85,7;85,8;86,4;86,6;86,9;87;87,4;87,8;87,7;88,5;88,5;88,8;88,9;89,4;90,4;91,1;91,2;91,7;92,5
poniżej 5000 ludności;%;.;.;.;.;.;.;.;.;.;.;21;19,9;18,7;.;.;.;.;.;.;19;18,1;18,8;17,8;18;19,8;19,5;18,4;20,4;21,3;21;19,8;19,2;20;20,3;20,5;21,7;21,4;22,1;21,1;21,9;23,1;24,4;25,3;25,8;25,8;28,2;28,5;32,2;33,2;36,3;38,5;42,2;46
od 5000 do 9999 ludności;%;.;.;.;.;.;.;.;.;.;.;34,8;33,9;32,1;.;.;.;.;.;.;36,6;37,5;36,9;37,9;38,6;38,4;41,2;39,9;42,1;40,7;41;40,8;40,1;42,7;43,2;46;46,2;47,7;46,5;45,2;47,1;45,7;49,9;50,6;50,9;52,8;55,1;54,8;57,8;60,3;63,6;66,4;68,8;72,3
od 10000 do 19999 ludności;%;.;.;.;.;.;.;.;.;.;.;44,4;40,6;43,1;.;.;.;.;.;.;42,9;43,8;42,3;43,1;43,8;47,7;47,6;44,5;49,8;52,8;56,2;57,8;59,5;61,9;61,1;60,2;59,5;61,2;63,2;64,4;63,9;65,6;66,2;67,1;67,5;66,7;66,6;68,7;70,2;74,1;74,9;74,4;76,7;80,7
od 20000 do 49999 ludności;%;.;.;.;.;.;.;.;.;.;.;53,2;56,7;55,3;.;.;.;.;.;.;65,7;63,6;64,9;63,1;66,1;65,4;65;69,7;71,6;72,6;78,3;76,9;77,9;77,5;81,9;82,6;81,8;80,9;81;82,1;82,7;83,6;84,4;82,7;83;84;84,4;84,1;84,7;86,9;88,4;88,4;88,9;89
od 50000 do 99999 ludności;%;.;.;.;.;.;.;.;.;.;.;82,5;75,4;90,1;.;.;.;.;.;.;89,3;89,5;89,4;89,2;88,8;89;93,3;85,9;93,5;96,2;94,2;100;97,6;97,6;95,7;95,4;95,4;98;98;97,9;96,2;96,3;96,1;96,2;100;98,4;98,5;98,5;98,5;98,5;100;100;100;100
od 100000 do 199999 ludności;%;.;.;.;.;.;.;.;.;.;.;92,9;94,7;95,1;.;.;.;.;.;.;100;100;100;100;100;100;100;100;100;100;63,2;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
200000 i więcej ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;100;100;100;100;100;77,9;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100
Udział ludności w miastach korzystającej z gazu w ludności ogółem miast (stan w dniu 31 XII);%;.;.;.;.;28,7;.;.;.;.;.;.;.;.;.;34,3;.;.;37,7;39,5;41,4;43,1;43,5;44,9;46,1;49;50,7;52,5;53,8;55,5;56,6;58,2;59,5;59,9;61,8;64;65,6;66,8;67,8;68,9;69,6;70,2;71,1;72,2;73,2;74,5;74,7;76,2;76,1;76,5;76,6;76,5;76,7;76,8
poniżej 5000 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;13,2;13,6;13,1;13,9;13,3;14;14,1;14;14,8;15,1;15,4;14,7;15,3;15,8;17;16,8;17,9;19,6;20;20,2;21,5;21,2;22,3;22,5;23,1;26,4
od 5000 do 9999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;26,9;26,4;27,8;27,2;27,9;30,9;29,6;29,9;30,4;35,8;31,5;31,3;32,4;31,9;33,1;34;35,6;39,9;40,4;41,3;41,9;43;43,6;45,1;45,4;46,3
od 10000 do 19999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;30,5;32;33,8;34,3;35,1;36,7;37,7;38,7;39,6;42,2;43,1;44,8;44,6;46,4;47,1;48,5;50,1;51,4;52,5;53,7;54,3;55,7;56,4;56,2;57;57,6
od 20000 do 49999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;43,9;45,2;48,6;48,7;49,8;51,9;53,4;56;57,5;58,4;59,4;60,2;62;62;63,7;64,9;66,7;69,4;69,4;70,6;70;70,2;70;70,2;71,1;70,7
od 50000 do 99999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;60;63,3;56,4;59,8;60,2;62;61;63,4;65,2;64,3;67,9;69;67,7;69,3;69,3;69,5;68,9;71,1;71,7;72,8;73,3;74;74,6;75;75,3;75,7
od 100000 do 199999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;72,9;74,8;63,2;66;69;72,1;72,3;73,7;74,6;76;77,4;78,5;80;80,4;82,3;83,6;85,1;86;84,5;89,7;89,2;89,3;89,3;88,9;88,8;88,6
200000 i więcej ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;77,9;78,4;78,8;81,5;80,7;83,5;85;85,9;86,7;87,4;88,1;88,5;89,1;90,3;90,6;91,8;91,1;92,2;92,2;92,3;92,3;92;91,8;91,7
Udział ludności w miastach korzystającej z gazu w ludności ogółem miast wyposażonych w sieć gazową (stan w dniu 31 XII);%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;49,5;.;.;52,2;54,6;56,4;58,7;59,3;61;62;65,1;66,7;67,5;68,3;69,6;68,6;69,7;70,7;70,4;72,4;74,7;76,4;77,3;78,3;79,2;80;80,3;81;82,3;82,7;84;84,1;85,7;85,1;84,7;84,1;83,9;83,6;83,1
poniżej 5000 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;64,9;63,7;62,3;70,3;69,5;70,1;69,4;68;68,5;70,4;69,8;69,7;69,6;68,6;69,5;66,1;69,6;76;70,9;70,8;66,8;63,9;61,4;58,3;54,7;57,5
od 5000 do 9999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;64,1;64,9;67,7;66,6;69,5;72,2;68,6;65;65,9;75,1;67,5;69,1;68,8;69,8;66,3;67,1;69,9;75,7;73,3;75,4;72,4;71,3;68,6;67,9;66;64
od 10000 do 19999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;61,3;60,7;60,2;59,5;59;59,3;61,6;64,3;66,5;69;68,2;69,5;69,7;70,8;71,1;72,2;74,2;77,1;78,8;78,2;77,4;75,2;75,3;75,5;74,4;71,4
od 20000 do 49999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;61,3;62,2;62,1;63,4;63,8;67;65,2;67,8;70,3;72,2;73,4;73,3;75;74,2;75,5;78,6;80,3;82,7;82,1;84;82,6;80,8;79,2;79,4;80;79,5
od 50000 do 99999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;64,2;65,8;59,9;60,1;61,4;63,6;63,7;66,4;68,4;65,6;69,2;70,5;70,4;71,9;72,2;72,2;68,9;72,3;72,8;73,9;74,4;75,1;74,6;75;75,3;75,7
od 100000 do 199999 ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;72,9;74,8;63,2;66;69;72;72,3;73,7;74,6;76;77,4;78,5;80;80,4;82,3;83,6;85,1;86;84,5;89,7;89,2;89,3;89,3;88,9;88,8;88,6
200000 i więcej ludności;%;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;77,9;78,4;78,8;81,6;80,7;83,5;85;85,9;86,2;87,4;88,1;88,5;89,1;90,3;90,6;91,8;91,1;92,2;92,2;92,3;92,3;92;91,8;91,7
Odbiorcy gazu z sieci w gospodarstwie domowym (stan w dniu 31 XII);tys.;.;.;.;.;.;.;.;.;.;836,9;904,4;988,9;1059,8;1137;1224,9;1307;1395,3;1489,1;1591,6;1703,1;1809,1;1922,9;2042,5;2160,5;2290,7;2423,2;2556,7;2707,8;2873,3;3046,1;3232,6;3418,2;3629,6;3823,3;4021,3;4192,2;4346,4;4499,4;4655,1;4809,6;4966;5123,3;5296,2;5474,4;5678,3;5876,5;6071,4;6159,8;6358,4;6436,9;6508,3;6570,2;6651,7
w miastach;tys.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1207,9;1290,1;1378,6;1471,4;1571,7;1681,9;1786,2;1897,6;2015,4;2132,3;2260,7;2389,2;2518,2;2666,9;2829,5;2998,7;3179,3;3359,8;3563,5;3752,1;3942,2;4103,9;4247,9;4391,2;4535,6;4676,7;4815,9;4950,9;5090,6;5233,1;5394,2;5542,9;5680,1;5718,3;5866,4;5905,8;5944,4;5985,9;6038,5
na wsi;tys.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17;16,9;16,7;17,7;19,9;21,2;22,9;25,3;27,1;28,2;30;34;38,5;40,9;43,8;47,4;53,3;58,4;66,1;71,2;79,1;88,3;98,5;108,2;119,5;132,9;150,1;172,4;205,6;241,3;284,1;333,6;391,3;441,5;492;531,1;563,9;584,3;613,2
Odbiorcy gazu płynnego (stan w dniu 31 XII);tys.;.;.;.;.;.;.;.;.;.;.;.;2,4;5,2;6,2;6,7;9,8;20,8;41,9;69,1;114;171,3;245,8;355,7;528,2;709,7;816,5;947,8;1068,8;1186,1;1376,8;1542;1674,3;1782,8;1883,8;1990,5;2082,2;2145,6;2179,3;2216,9;2236,4;2274,8;2309,1;2348,9;2401,1;2492,6;2367,6;.;.;.;.;.;.;.
w miastach;tys.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6;8,4;17,8;32,3;52,3;85,6;128,3;178,8;247,1;340,5;436,2;495,1;555,6;619,7;680,5;796,7;870,7;920,3;981,8;1028,3;1077,7;1111,3;1146,2;1161,4;1177,2;1171,3;1174;1185,5;1190,8;1197,5;1206,6;1139,4;.;.;.;.;.;.;.
na wsi;tys.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,7;1,4;3;9,6;16,8;28,4;43;67;108,6;187,7;273,5;321,4;392,2;449,1;505,6;580,1;671,3;754;801;855,5;912,8;970,9;999,4;1017,9;1039,7;1065,1;1100,8;1123,6;1158,1;1203,6;1286;1228,2;.;.;.;.;.;.;.
Zużycie gazu z sieci w gospodarstwie domowym (w ciągu roku);hm3;.;.;.;.;.;.;.;.;442,4;500,6;550,8;609,7;677,3;745,4;909,1;971,4;1050,2;1088,6;1143,9;1241,5;1338,7;1454,5;1605;1743,2;1845,1;2011,5;2212,9;2475,3;2739,3;2968,1;3576,2;3762,2;4250;4761,2;5054,2;5381,7;5925,8;5486,7;5992,7;6602;7221,7;7823;8187,7;8556,4;9405,7;10 547,9;10 160,5;9891,3;9821,8;10 486,1;9352,6;9744,6;9318,8
w miastach;hm3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;868,8;925,2;996,9;1035,5;1088,6;1179,8;1275,5;1391,2;1534,8;1663,2;1757,5;1922;2115,9;2360,5;2612,6;2836,6;3431,4;3617,8;4047,5;4512,7;4787,2;5069,3;5563,9;5161,7;5619;6136,1;6636,2;7113;7413,9;7663,8;8302,3;9141,2;8772,8;8711,7;8603,6;9028,8;8026;8236;7868,6
na wsi;hm3;.;.;.;.;.;.;.;0;.;.;.;.;.;.;40,3;46,2;53,3;53,1;55,3;61,7;63,2;63,3;70,2;80;87,6;89,5;97;114,8;126,7;131,5;144,8;144,4;202,5;248,5;267;312,4;361,9;325;373,7;465,9;585,5;710;773,8;892,6;1103,4;1406,7;1387,7;1179,6;1218,2;1457,3;1326,6;1508,6;1450,2
Zużycie gazu płynnego (w ciągu roku);hm3;.;.;.;.;.;.;.;.;.;.;.;0,1;0,2;0,3;1,6;2,1;3,9;7,2;12,2;20;30,1;41,2;59,9;90,8;132,3;154,8;187,2;211;219,7;263,4;284,7;312,2;336,5;360,4;396;398,1;364,3;370,2;376,4;402,4;389;407,3;418,5;411,4;402,4;337;.;.;.;.;.;.;.
w miastach;hm3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1,4;1,8;3,4;5,7;9,5;15,8;23,5;31,3;45,2;63,9;87,5;102,2;119,9;133,8;138,4;165,8;178,5;189,5;205,3;219,4;238,7;242;224,3;226,2;230,7;242,6;234;242,9;244,5;233,9;226;181,9;.;.;.;.;.;.;.
na wsi;hm3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,2;0,3;0,5;1,5;2,7;4,2;6,6;9,9;14,7;26,9;44,8;52,6;67,3;77,2;81,3;97,6;106,2;122,7;131,2;141;157,3;156,1;140;144;145,7;159,8;155;164,4;174;177,5;176,4;155,1;.;.;.;.;.;.;.
