﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
gospodarstwa 3-osobowe;zł;0,27;0,27;0,29;0,31;0,32;0,33;0,33;0,35;0,37;0,35;0,36;0,39;0,4;0,42;0,46;.;0,53;0,62;0,69;0,75;.;0,91;0,99;1,12;1,42;2,25;3,04;3,81;4,33;5,11;6,33;11,2;42,28;19,95;346,6;520,48;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,29;0,3;0,33;0,33;0,34;0,36;0,36;0,37;0,4;0,39;0,4;0,43;0,45;0,47;0,52;.;0,59;0,67;0,75;0,81;.;0,97;1,09;1,23;1,54;2,51;3,32;3,99;4,59;5,51;6,82;12,14;46,51;215,61;367,2;529,46;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,34;0,33;0,34;0,35;0,37;0,38;0,38;0,39;0,41;0,41;0,43;0,45;0,48;0,5;0,55;.;0,63;0,71;0,8;0,84;.;1,03;1,11;1,21;1,53;2,66;3,59;4,09;4,74;5,64;7,05;12,78;47,36;222,7;383,11;547,64;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,36;0,35;0,37;0,38;0,41;0,4;0,4;0,42;0,46;0,44;0,45;0,48;0,52;0,5;0,57;.;0,67;0,75;0,81;1;.;1,16;1,27;1,37;1,8;3,34;4,13;4,78;5,32;6,36;7,69;14,25;53,09;244,91;423,24;581,93;.;.;.;.;.
Przeciętne miesięczne przychody na 1 gospodarstwo domowe pracowników na stanowiskach nierobotniczych;zł;0,31;0,3;0,32;0,35;0,38;0,39;0,39;0,41;0,42;0,4;0,42;0,43;0,45;0,47;0,52;.;0,64;0,71;0,76;0,83;.;1,03;1,13;1,24;1,51;2,4;3,3;4,01;4,66;5,52;6,91;12,13;47;238,79;428,81;620,17;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,19;0,21;0,21;0,21;0,21;0,22;0,22;0,24;0,23;0,23;0,24;0,24;0,25;0,27;.;0,33;0,38;0,4;0,43;.;0,55;0,61;0,63;0,88;1,22;1,67;2,07;2,5;3;3,77;6,78;25,77;133,97;229,19;342,96;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,27;0,31;0,3;0,32;0,35;0,34;0,35;0,37;0,33;0,36;0,39;0,4;0,41;0,44;.;0,53;0,56;0,61;0,64;.;0,85;0,92;1,04;1,25;1,92;2,71;3,32;3,86;4,6;4,83;10,27;39,76;201,5;374,45;544,05;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,31;0,33;0,35;0,39;0,42;0,41;0,42;0,44;0,44;0,47;0,47;0,5;0,54;0,56;.;0,66;0,75;0,8;0,86;.;1,06;1,21;1,3;1,55;2,43;3,3;4,08;4,81;5,78;7,08;12,61;48,83;246,05;441,84;657,06;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,32;0,35;0,4;0,41;0,42;0,43;0,46;0,48;0,49;0,51;0,54;0,56;0,56;0,63;.;0,72;0,82;0,89;0,97;.;1,18;1,27;1,4;1,72;2,77;3,74;4,54;5,27;6,23;7,68;13,47;53,51;270,62;477,93;687,04;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,35;0,36;0,44;0,44;0,46;0,44;0,48;0,5;0,49;0,52;0,54;0,57;0,59;0,62;.;0,76;0,86;0,92;1,01;.;1,19;1,34;1,44;1,78;3,1;4,04;4,78;5,58;6,62;8,12;14,88;58,17;283,23;476,01;709,83;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,36;0,43;0,4;0,51;0,49;0,47;0,47;0,54;0,55;0,53;0,59;0,58;0,57;0,8;.;0,81;0,96;1,04;1,07;.;1,28;1,3;1,49;1,94;3,21;4,4;5,19;6,2;7,06;9,39;15,99;61,53;316,86;553,85;703,85;.;.;.;.;.
Przeciętne miesięczne przychody na 1 gospodarstwo domowe pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,62;0,7;0,77;0,84;.;1,04;1,16;1,25;1,68;2,89;4,2;4,96;5,83;7,05;8,52;15,77;59,48;291,45;474,33;676,65;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,46;0,53;0,56;0,63;.;0,76;0,87;0,88;1,25;2,07;2,82;3,48;4,09;4,86;5,96;10,56;39,56;207,79;330,59;479;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,53;0,62;0,68;0,76;.;0,87;1,01;1,15;1,46;2,57;3,6;4,12;4,77;5,8;7,53;13,38;51,26;249,65;405,98;590,49;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,61;0,66;0,76;0,81;.;1,02;1,14;1,23;1,6;2,68;4,09;5,05;5,63;7,25;8,04;15,5;57,97;279,42;458,84;609,61;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,66;0,74;0,79;0,88;.;1,1;1,18;1,25;1,79;3,03;4,34;5,13;5,95;7,13;9;16,39;63,74;310,98;475,85;721,12;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,72;0,8;0,88;0,98;.;1,2;1,37;1,48;2,01;3,57;5,08;5,89;7,18;8,5;10,36;19,43;73,09;348,27;56,29;783,13;.;.;.;.;.
Przeciętne miesięczne przychody na 1 gospodarstwo domowe rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,51;0,55;0,6;0,67;.;0,94;1,03;1,1;1,6;2,5;3,85;4,48;5,28;6,19;7,67;14,86;54,59;250,15;356,51;516,59;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,19;0,19;0,18;0,22;.;0,33;0,31;0,35;0,51;0,9;1,39;1,53;1,64;2,37;2,85;5,34;18,54;97,62;146,03;225,7;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,35;0,4;0,41;0,46;.;0,63;0,68;0,76;1;1,76;2,64;3,01;3,59;4,3;5,06;9,94;35,07;165,8;239,66;335,97;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,5;0,53;0,61;0,68;.;0,94;1,03;1,09;1,5;2,38;3,67;4,11;4,86;6,12;7,3;14,07;53,33;253,07;325,09;478,13;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,64;0,65;0,71;0,84;.;0,98;1,1;1,23;1,92;2,81;4,23;5,35;6,29;7,33;9,66;17,71;63,26;289,84;423,38;544,41;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,66;0,74;0,8;0,87;.;1,19;1,29;1,38;1,95;3,13;4,83;5,09;6,56;7,9;10,43;19,66;69,49;303,06;425,38;636,15;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,72;0,79;0,91;1,01;.;1,27;1,45;1,54;2,44;3,76;5,7;6,64;5,7;8,94;11,11;21,13;81,47;355,31;484,76;670,95;.;.;.;.;.
Przeciętne miesięczne przychody na 1 gospodarstwo domowe emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,23;0,24;0,27;0,28;.;0,41;0,46;0,49;0,59;1,02;1,34;1,71;1,97;2,36;3,19;5,14;17,03;97,99;198,83;282,99;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,17;0,18;0,19;.;0,26;0,29;0,31;0,39;0,66;0,8;0,96;1,16;1,4;1,88;3,14;10,5;60,29;117,25;165,73;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,26;0,28;0,32;0,34;.;0,45;0,5;0,55;0,66;1,18;1,46;1,9;2,16;2,66;3,65;5,87;18,89;112,07;223,06;320,75;.;.;.;.;.
gospodarstwa 3-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,43;0,48;0,51;0,54;.;0,71;0,82;0,9;1,05;1,81;2,29;2,96;3,29;4,05;4,41;8,33;28,61;159,7;31,34;399,08;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym pracowników;zł;0,08;0,08;0,09;0,09;0,1;0,1;0,1;0,11;0,11;0,11;0,12;0,13;0,13;0,14;0,15;.;0,17;0,19;0,21;0,23;.;0,28;0,31;0,34;0,43;0,69;0,92;1,1;1,28;1,52;1,87;3,33;12,74;62,03;102,9;156,87;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,18;0,19;0,19;0,2;0,21;0,21;0,21;0,21;0,23;0,23;0,24;0,25;.;0,3;0,35;0,37;0,4;.;0,5;0,57;0,61;0,81;1,17;1,59;1,97;2,37;2,85;3,53;6,24;23,35;120,94;198,69;313,12;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,12;0,13;0,12;0,13;0,14;0,15;0,15;0,16;0,15;0,16;0,17;0,19;0,18;0,2;.;0,23;0,26;0,28;0,31;.;0,39;0,43;0,48;0,59;0,93;1,29;1,55;1,85;2,18;2,74;4,77;17,92;91,7;159,49;241,42;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,09;0,1;0,1;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,14;0,15;0,16;0,17;.;0,2;0,23;0,25;0,27;.;0,32;0,36;0,4;0,49;0,78;1,05;1,31;1,51;1,79;2,21;3,92;14,97;73,22;124,37;194,04;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,12;0,12;0,13;0,14;.;0,16;0,18;0,2;0,22;.;0,26;0,29;0,32;0,4;0,65;0,87;1,04;1,2;1,44;1,78;3,14;12,22;58,91;97,08;146,87;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,12;.;0,13;0,15;0,17;0,18;.;0,21;0,23;0,26;0,32;0,56;0,74;0,85;0,99;1,18;1,46;2,67;10,01;47,69;77,21;118,63;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,09;0,08;0,1;.;0,11;0,12;0,13;0,15;.;0,19;0,2;0,22;0,29;0,52;0,64;0,75;0,85;1;1,23;2,23;8,37;40,14;64,3;92,37;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach robotniczych;zł;0,08;0,08;0,09;0,09;0,09;0,1;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,14;.;0,15;0,17;0,19;0,21;.;0,25;0,28;0,31;0,39;0,64;0,86;1,02;1,19;1,4;1,74;3,09;11,62;54,96;94,18;136,33;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,16;0,17;0,18;0,18;0,19;0,19;0,19;0,2;0,2;0,2;0,2;0,23;0,23;0,23;0,24;.;0,27;0,3;0,3;0,34;.;0,41;0,46;0,54;0,65;1,06;1,46;1,79;2,15;2,61;3,14;5,41;19,42;103,57;164,98;259,64;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,15;0,14;0,14;0,15;0,16;0,16;0,19;.;0,2;0,23;0,26;0,29;.;0,36;0,4;0,44;0,56;0,9;1,23;1,46;1,78;2,07;2,58;4,46;16,29;83,47;144,45;213,16;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,12;0,12;0,12;0,12;0,13;0,13;0,14;0,15;.;0,18;0,21;0,23;0,25;.;0,3;0,33;0,37;0,47;0,75;1,01;1,27;1,44;1,7;2,11;3,73;14,09;66,51;115,53;173,49;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,07;0,08;0,08;0,08;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,13;.;0,15;0,17;0,19;0,2;.;0,24;0,27;0,31;0,38;0,63;0,83;1;1,15;1,38;1,7;3,03;11,63;53,9;91,8;132,37;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,07;0,07;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,11;.;0,13;0,14;0,16;0,17;.;0,21;0,22;0,24;0,31;0,53;0,72;0,82;0,95;1,13;1,41;2,56;94,77;44,54;76,62;109,53;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,08;0,08;0,08;0,09;.;0,1;0,12;0,12;0,15;.;0,18;0,2;0,21;0,28;0,52;0,63;0,74;0,82;0,97;1,17;2,18;8,12;37,74;65,31;87,51;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach nierobotniczych;zł;0,09;0,09;0,1;0,11;0,11;0,12;0,12;0,12;0,13;0,14;0,14;0,15;0,16;0,16;0,17;.;0,2;0,22;0,24;0,26;.;0,32;0,36;0,39;0,48;0,76;1,03;1,25;1,46;1,74;2,15;3,81;14,97;74,85;131,54;192,6;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,19;0,21;0,21;0,21;0,21;0,22;0,22;0,24;0,23;0,23;0,24;0,24;0,25;0,27;.;0,33;0,38;0,4;0,43;.;0,55;0,61;0,63;0,88;1,22;1,67;2,07;2,5;3;3,77;6,78;25,77;133,97;229,19;342,96;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,13;0,15;0,15;0,16;0,17;0,17;0,17;0,18;0,17;0,18;0,19;0,2;0,2;0,22;.;0,26;0,28;0,3;0,32;.;0,42;0,46;0,52;0,62;0,96;1,36;1,66;1,93;2,3;2,92;5,14;19,88;100,75;187,22;272,03;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,1;0,11;0,12;0,13;0,14;0,14;0,14;0,15;0,15;0,16;0,16;0,17;0,18;0,19;.;0,22;0,25;0,27;0,29;.;0,35;0,4;0,43;0,52;0,81;1,1;1,36;1,6;1,93;2,36;4,2;16,28;82,02;147,28;219,02;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,08;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,16;.;0,18;0,2;0,22;0,24;.;0,29;0,32;0,35;0,43;0,69;0,94;1,14;1,32;1,56;1,92;3,37;13,38;67,66;119,48;171,76;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,07;0,07;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,1;0,11;0,11;0,12;0,12;.;0,15;0,17;0,18;0,2;.;0,24;0,27;0,29;0,36;0,62;0,81;0,96;1,12;1,32;1,62;2,98;11,63;56,65;95,2;141,97;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,06;0,07;0,07;0,08;0,08;0,07;0,07;0,09;0,09;0,09;0,09;0,09;0,09;0,13;.;0,13;0,15;0,17;0,18;.;0,21;0,21;0,24;0,32;0,53;0,7;0,83;0,99;1,12;1,5;2,53;9,68;49,98;87,77;112,62;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,17;0,19;.;0,22;0,25;0,27;0,37;0,65;0,92;1,1;1,27;1,55;1,88;3,5;13,34;64,2;100,49;139,51;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,23;0,26;0,28;0,31;.;0,38;0,44;0,44;0,63;1,03;1,41;1,74;2,04;2,43;2,98;5,28;19,78;103,89;165,29;239,5;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,18;0,21;0,23;0,25;.;0,29;0,34;0,38;0,49;0,86;1,2;1,37;1,59;1,93;2,51;4,46;17,09;83,22;135,33;196,83;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,17;0,19;0,2;.;0,25;0,28;0,31;0,4;0,67;1,02;1,26;1,41;1,81;2,01;3,88;14,49;69,86;114,71;152,4;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,16;0,18;.;0,22;0,24;0,25;0,36;0,61;0,87;1,03;1,19;1,43;1,8;3,28;12,75;62,2;95,17;144,22;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;0,12;0,13;0,15;.;0,18;0,21;0,22;0,3;0,55;0,75;0,89;1,07;1,26;1,54;2,88;10,89;51,83;82,83;113,01;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,16;0,17;0,2;.;0,25;0,28;0,3;0,43;0,69;1,05;1,21;1,43;1,74;2,18;4,1;15,12;68,72;94,57;131,12;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,19;0,19;0,18;0,22;.;0,33;0,31;0,35;0,51;0,9;1,39;1,53;1,64;2,37;2,85;5,34;18,54;97,62;146,03;225,7;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,18;0,2;0,21;0,23;.;0,32;0,34;0,38;0,5;0,88;1,32;1,5;1,79;2,15;2,53;4,97;17,53;82,9;119,83;167,99;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,17;0,18;0,2;0,23;.;0,31;0,34;0,36;0,5;0,79;1,22;1,37;1,62;2,04;2,43;4,69;17,78;84,36;108,36;159,38;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,16;0,16;0,18;0,21;.;0,25;0,28;0,31;0,48;0,7;1,06;1,34;1,57;1,83;2,42;4,43;15,81;72,46;105,85;136,1;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,16;0,17;.;0,24;0,26;0,28;0,39;0,63;0,97;1,02;1,31;1,58;2,09;3,93;13,9;60,61;85,08;127,23;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;0,12;0,14;0,15;.;0,19;0,22;0,23;0,37;0,57;0,85;1,01;1,14;1,35;1,69;3,2;12,36;53,19;73,01;102,12;.;.;.;.;.
Przeciętne miesięczne przychody na 1 osobę w gospodarstwie domowym emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,16;0,17;.;0,23;0,26;0,28;0,34;0,59;0,72;0,92;1,05;1,29;1,73;2,82;9,3;53,84;103,56;138,72;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,17;0,18;0,19;.;0,26;0,29;0,31;0,39;0,66;0,8;0,96;1,16;1,4;1,88;3,14;10,5;60,29;117,25;165,73;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,14;0,16;0,17;.;0,22;0,25;0,27;0,33;0,59;0,73;0,95;1,08;1,33;1,83;2,94;9,45;56,04;111,53;160,37;.;.;.;.;.
gospodarstwa 3-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,14;0,14;0,16;.;0,21;0,24;0,26;0,3;0,54;0,65;0,83;0,93;1,14;1,47;2,38;8,04;44,61;85,16;105,02;.;.;.;.;.
Przeciętne miesięczne dochody na 1 gospodarstwo domowe pracowników;zł;0,28;0,28;0,3;0,3;0,32;0,33;0,35;0,36;0,38;0,37;0,39;0,41;0,43;0,44;0,47;.;0,58;0,66;0,72;0,78;.;0,93;1,03;1,13;1,41;2,27;2,87;3,44;4;4,76;5,83;10,47;40,47;197,63;346,57;507,04;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,18;0,19;0,19;0,2;0,21;0,21;0,21;0,21;0,23;0,23;0,24;0,25;.;0,3;0,35;0,37;0,4;.;0,49;0,54;0,58;0,73;1,12;1,36;1,67;2,07;2,42;3,02;5,46;20,95;109,16;184,16;280,49;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,23;0,25;0,25;0,27;0,28;0,3;0,31;0,33;0,3;0,32;0,34;0,36;0,36;0,39;.;0,46;0,51;0,56;0,6;.;0,76;0,84;0,94;1,16;1,8;2,28;2,77;3,29;3,9;4,84;8,53;32,84;168,92;302,14;441,6;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,28;0,3;0,31;0,33;0,35;0,36;0,38;0,39;0,39;0,41;0,42;0,44;0,46;0,5;.;0,58;0,67;0,74;0,79;.;0,93;1,05;1,15;1,42;2,23;2,79;3,48;4,02;4,79;5,8;10,38;40,5;200,73;351,63;531,14;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,3;0,33;0,34;0,35;0,37;0,38;0,4;0,43;0,42;0,44;0,47;0,49;0,51;0,55;.;0,63;0,72;0,8;0,88;.;1,01;1,12;1,23;1,54;2,47;3,09;3,67;4,29;5,14;6,23;11,28;44,5;211,06;366,89;530,37;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,33;0,34;0,36;0,38;0,37;0,4;0,42;0,43;0,44;0,46;0,47;0,52;0,53;0,57;.;0,66;0,75;0,83;0,88;.;1,04;1,13;1,22;1,53;2,63;3,29;3,83;4,49;5,25;6,55;11,91;45,75;215,54;375,64;541,2;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,35;0,38;0,38;0,41;0,4;0,42;0,43;0,47;0,46;0,48;0,51;0,54;0,52;0,61;.;0,67;0,79;0,84;0,94;.;1,15;1,23;1,33;1,73;3,18;3,83;4,42;5,01;5,95;7,26;13,37;50,53;240,78;412,31;569,37;.;.;.;.;.
Przeciętne miesięczne dochody pracowników na stanowiskach robotniczych w 1 gospodarstwie domowym pracowników;zł;0,27;0,27;0,29;0,3;0,31;0,32;0,32;0,34;0,36;0,34;0,34;0,37;0,39;0,4;0,45;.;0,54;0,62;0,69;0,75;.;0,89;0,99;1,1;1,4;2,29;3,18;3,42;3,95;4,68;5,75;10,37;39,39;185,21;319,98;470,06;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,15;0,16;0,18;0,18;0,19;0,19;0,19;0,2;0,2;0,2;0,2;0,22;0,23;0,23;0,24;.;0,26;0,29;0,3;0,34;.;0,4;0,46;0,52;0,64;1,01;1,46;1,53;1,95;2,19;2,7;4,83;18,07;92,55;148,24;224,57;.;.;.;.;.
