﻿Wskaźnik;Jednostka;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994
spółdzielni produkcyjnych;tys. zł;.;.;.;.;356,6;.;53,6;57,4;71,9;86,4;76,5;69,3;60,6;72,4;93,9;111,3;125,9;136,5;146,5;170,3;213,9;285,8;354,4;448,3;571,1;726,7;1082,7;1340,9;1554,4;1747,6;2513,2;2784,5;3324,4;4461,1;5052;6307,2;7796,4;14 756,5;45 971,5;237 025,7;320 836,4;380 519,1;414 659,8;.
kółek rolniczych;tys. zł;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;6,8;5;4,5;5,2;5,9;12,2;24,2;60,4;129,8;269,2;442,8;572,5;504,8;392,8;310,9;156;286,9;235,5;295,5;302,5;340,5;343,4;641;1747;7674,2;.;.;.;.
indywidualnych gospodarstw rolnych;tys. zł;.;.;.;.;3776,5;5029,4;5707,6;6006,5;6160,2;6536,4;7232,2;7400,2;6930,8;7534,6;8054,3;8692,1;8675,8;9231,3;9184,2;9248,5;11 354,0;13 367,3;14 742,6;15 585,7;15 426,2;15 935,5;21 496,2;22 599,7;24 443,7;24 078,7;40 677,8;60 433,6;65 754,8;74 208,0;87 401,1;101 767,3;116 325,8;235 262,2;739 553,6;3 208 562,9;4 441 442,6;6 505 253,1;8 036 078,0;.
Dynamika końcowej produkcji rolniczej - grupowanie metodą rodzaju działalności (ceny stałe);rok poprzedni=100;113;98,5;99,2;102,6;102,6;103,9;103,9;105;104,8;98,1;104;112,4;86,5;110,6;100,5;110,1;103,7;101,5;107,2;89,2;106,2;106,2;109;106,8;100,2;96,9;100,4;103,7;109;96,1;90,4;102;94,6;105,4;106,6;100,7;106,3;95,4;102,8;101,8;94,5;98,4;89,1;102
państwowych gospodarstw rolnych;rok poprzedni=100;.;118,1;109,7;114,6;107,5;112,4;97,9;101,3;103,3;99,9;105,9;114,3;97,5;102,8;109,4;116,6;104,9;109,6;104,9;95,7;107,7;111,6;105,2;113,3;107;105,3;104,9;104,6;107,2;92;99,1;88,9;99,3;110;111,5;101,3;106,5;98;100,1;103,4;96;88,8;65,8;64,7
spółdzielni produkcyjnych;rok poprzedni=100;.;472,1;128,4;197,5;125,3;119,3;.;.;81,6;106,3;115,1;88,9;85,8;101,7;111,4;123,3;108,4;114,1;109,1;100;113,5;114,8;116,8;119;116,5;118,5;118,5;122,7;121,6;104,9;105,2;95,4;69;105,2;123,5;99,6;109;99,7;103;102,9;99,1;97,3;76,4;91,7
kółek rolniczych;rok poprzedni=100;—;—;—;—;—;—;—;—;—;—;—;—;120,7;122,8;117;76;113,3;103;93;86,4;106;133,9;135,2;155,6;174;166,4;154,3;116,6;89,2;66;80,3;49,6;72,2;79,8;118,2;85;101,5;91;91,6;97,9;85,9;.;.;.
indywidualnych gospodarstw rolnych;rok poprzedni=100;.;95,3;97,6;98,3;100,5;101,6;115;104;105,3;97,9;103,7;112,2;85,1;111,7;99,3;109,3;103,5;100,1;107,6;88;105,9;105;109,5;105,2;98,1;93,9;97,9;102,4;109,5;97,4;87,5;106,5;95,4;104,5;104,6;100,6;106,1;94,6;103,5;101,4;93,9;100,7;94,6;105,6
produkcji roślinnej;rok poprzedni=100;106;102,5;99,2;95,5;103;101,9;97,7;100,9;103,9;96,1;107,7;117,9;64,7;155,2;97,3;113,2;101;104;112,3;75;118,2;103,8;107;102,5;91,5;92,4;120,8;84,3;123,1;86;81,6;139,7;90,3;116,7;112,1;93,4;111,4;92,2;101,5;105,9;95,1;95,4;75,2;141,4
państwowych gospodarstw rolnych;rok poprzedni=100;.;110,9;99,7;96,2;105,2;119,1;86,8;95,9;111,3;113,6;105,5;107,2;94,1;114,4;110,7;120,6;102,9;117,7;104,8;88,1;111,6;111,5;97;105,6;99,7;97,2;110,6;97,7;111;81,9;97,7;111,8;104,1;119,8;118,3;99;109,5;96;93,3;117,5;99,2;95,6;54,6;102,2
spółdzielni produkcyjnych;rok poprzedni=100;.;491,6;127,1;182,3;120,6;111;.;.;65,5;88,9;120,2;85,1;76,3;131,8;113,3;120,4;102,1;118,1;113;93,3;117,8;116,5;102;116,2;106,1;105,9;126,3;106,6;129;83,5;97,8;108,8;93,2;110,4;127,3;91,4;107,8;93,7;94,4;119;99;84,3;57,1;162,6
w kółkach rolniczych;rok poprzedni=100;—;—;—;—;—;—;—;—;—;—;—;—;120,7;122,8;117;76;108,2;106,1;93,5;83,3;105,6;123,2;117,9;107,6;102,7;120,6;209,4;108,6;121,1;50,8;65,4;60,7;83,2;104,1;126;77,3;102,2;100,4;76,9;126,9;92,5;.;.;.
w indywidualnych gospodarstwach rolnych;rok poprzedni=100;.;99;98,2;91,7;101,3;98,9;110,5;99,5;103,9;94,2;107,9;119,3;60,3;164,4;95;112,4;100,6;101,1;114,1;71,9;120;101,6;109,6;101,5;89,1;90,4;122,9;79,3;127;88,2;76,5;149,8;87,5;116,3;109,9;92,1;112,1;91,2;104,2;102,6;93,8;95,8;80,8;144,8
produkcji zwierzęcej;rok poprzedni=100;118,6;95,7;99,2;107,9;102,3;105,2;108,1;107,4;105,3;99,2;102,1;109,1;100,4;92,1;102,8;108,1;105,7;99,9;103,6;100,1;99,4;107,4;110,1;108,9;104,2;98,8;91,2;115,4;102,9;101,4;94,3;90,9;96,5;100,6;103,9;104,5;103,5;97,3;103,5;99,5;94,2;99,9;95,8;87,4
państwowych gospodarstw rolnych;rok poprzedni=100;.;128,1;121,6;132,6;109,2;107,8;106,3;104,6;98,8;91,2;106,2;120,6;100,2;94,3;108,3;113;106,9;101,6;105,1;104,4;104;111,7;111,4;118,4;111,3;109,6;101,4;109,1;105;98,3;99,9;81,7;97,2;105,5;108;102,6;104,8;99,2;104,4;95,7;93,9;85,2;72,4;48
spółdzielni produkcyjnych;rok poprzedni=100;.;450;129,9;216,1;130,1;127,1;.;—;99,8;119,2;112,4;91,7;92,3;84,8;109,8;125,9;113,9;110,8;105,9;105,9;110,1;113,6;126,5;120,4;121,8;124;115,3;130,1;118,8;113,6;107,4;92,2;62,2;102,9;121,7;103,4;109,5;102,4;106,6;96,8;99,2;101,4;81,5;78,6
kółek rolniczych;rok poprzedni=100;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;159,7;83,8;89,2;112,1;108,5;178,4;184,7;243,4;231,7;182,8;141,6;119,3;79,3;73,1;85,1;46,8;68,6;70,1;113,6;90,1;101,1;85,3;102,2;82,2;80,4;.;.;.
indywidualnych gospodarstw rolnych;rok poprzedni=100;.;92,8;97,2;103,1;100,1;103,3;117,7;106,7;106;99,8;101,6;108,2;100,5;92;102,1;107,3;105,4;99,5;103,4;99,4;98,6;106,7;109,5;106,9;102;95,2;87,2;116,3;102,3;102,1;92,3;93,7;99,1;99,6;102,1;105,1;102,9;96,6;103,1;100,7;94;103,2;101,1;91
