﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe pracowników na stanowiskach nierobotniczych;zł;0,3;0,29;0,32;0,35;0,38;0,39;0,38;0,4;0,42;0,39;0,41;0,43;0,45;0,46;0,51;.;0,62;0,7;0,75;0,81;.;1,01;1,1;1,22;1,46;2,33;2,97;3,58;4,09;4,88;6,17;10,32;36,69;196,18;370,6;520,89;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,19;0,2;0,2;0,2;0,21;0,22;0,22;0,26;0,22;0,22;0,23;0,24;0,25;0,26;.;0,32;0,38;0,39;0,42;.;0,53;0,6;0,62;0,84;1,18;1,53;1,91;2,32;2,76;3,65;5,98;20,91;112,82;209,63;305,78;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,25;0,29;0,29;0,32;0,34;0,33;0,34;0,36;0,33;0,36;0,39;0,39;0,4;0,43;.;0,51;0,55;0,59;0,64;.;0,83;0,9;1,02;1,22;1,87;2,45;2,9;3,36;4,05;5,11;8,72;31,14;162,94;320,09;457,88;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,3;0,31;0,35;0,39;0,42;0,41;0,42;0,43;0,44;0,46;0,47;0,5;0,53;0,54;.;0,65;0,74;0,79;0,84;.;1,04;1,18;1,28;1,5;2,35;2,99;3,61;4,23;5,04;6,3;10,73;38,73;200,33;376,86;547,44;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,32;0,42;0,4;0,42;0,42;0,42;0,45;0,47;0,48;0,5;0,53;0,56;0,55;0,62;.;0,7;0,81;0,89;0,95;.;1,15;1,24;1,39;1,67;2,71;3,34;4,09;4,66;5,58;6,97;11,57;41,05;225,47;415,16;576,72;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,35;0,35;0,44;0,44;0,46;0,44;0,48;0,49;0,49;0,51;0,54;0,56;0,58;0,61;.;0,74;0,85;0,91;0,99;.;1,18;1,31;1,42;1,72;3;3,63;4,26;4,79;5,77;7,24;12,43;45,94;236,63;423,66;592,54;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,36;0,47;0,4;0,5;0,45;0,46;0,46;0,53;0,54;0,53;0,58;0,57;0,57;0,8;.;0,8;0,93;1,03;1,06;.;1,26;1,26;1,47;1,82;3,15;3,96;4,6;5,21;6,21;7,4;12,93;44,7;245,94;461,92;609,14;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,56;0,67;0,75;0,81;.;1;1,1;1,2;1,52;2,76;3,34;3,86;4,43;5,23;6,59;11,02;40,57;213,45;363,09;511,57;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,41;0,51;0,55;0,61;.;0,73;0,81;0,84;1,15;1,98;2,21;2,57;3,09;3,64;4,56;7,3;26,03;141,49;239,75;336,03;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,47;0,59;0,65;0,73;.;0,83;0,98;1,11;1,3;2,41;2,81;3,17;3,76;4,42;5,68;9,37;33,47;175;311,83;460,83;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,55;0,63;0,74;0,78;.;0,98;1,07;1,19;1,47;2,58;3,29;3,92;4,28;5,22;6,46;10,87;39,92;210,42;357,65;491,71;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,6;0,71;0,77;0,84;.;1,04;1,13;1,21;1,63;2,86;3,48;4,06;4,47;5,43;6,83;11,76;44,32;229,42;365,31;522,38;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,65;0,76;0,87;0,94;.;1,17;1,31;1,43;1,82;3,48;4,06;4,61;5,41;6,22;8,02;13,32;50,4;258,7;426,91;582,26;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,44;0,52;0,57;0,64;.;0,92;1;1,04;1,37;2,34;3,19;3,66;4,2;4,8;5,97;10,86;41,12;197,27;306,33;429,75;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,16;0,19;0,18;0,21;.;0,34;0,31;0,33;0,45;0,84;1,19;1,22;1,4;1,74;2,38;3,93;14,17;75,38;125,65;211,37;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,31;0,38;0,4;0,44;.;0,6;0,66;0,71;0,88;1,64;2,11;2,35;2,79;3,2;4,1;6,67;24,42;130,06;206,8;269,27;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,43;0,5;0,58;0,63;.;0,91;0,98;1,01;1,3;2,18;2,9;3,27;4;4,69;5,95;10,61;41,01;186,5;282,13;411,59;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,55;0,63;0,67;0,78;.;0,96;1,06;1,21;1,65;2,62;3,78;4,07;4,66;5,92;7,1;13,36;47,71;227,31;356,9;452,19;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,57;0,68;0,75;0,83;.;1,17;1,24;1,31;1,62;2,92;3,89;4,6;5,34;6,16;7,81;14,13;56,24;242,42;362,53;530,52;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,61;0,73;0,88;0,96;.;1,26;1,42;1,42;2,11;3,62;4,82;5,62;6,14;7,03;8,64;15,79;60,05;297,88;421,26;548,84;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,22;0,24;0,26;0,28;.;0,4;0,45;0,49;0,57;1,01;1,33;1,63;1,89;2,23;3;4,85;15,58;90,86;184,06;269,89;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,16;0,18;0,19;.;0,26;0,29;0,31;0,38;0,65;0,81;0,97;1,15;1,38;1,83;3,05;9,66;57,62;112,74;167,29;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,26;0,28;0,31;0,34;.;0,44;0,5;0,55;0,65;1,16;1,47;1,76;2,07;2,51;3,42;5,54;17,41;103,43;205,77;304,1;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,42;0,47;0,5;0,54;.;0,7;0,81;0,9;1,02;1,78;2,18;2,81;3,1;3,68;4,05;7,59;25,61;144,67;283,23;369,84;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym pracowników;zł;0,08;0,08;0,09;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,12;0,13;0,13;0,14;0,15;.;0,16;0,19;0,21;0,22;.;0,27;0,3;0,33;0,41;0,67;0,8;0,96;1,1;1,31;1,62;2,76;9,77;50,79;92,95;131;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,16;0,18;0,18;0,18;0,19;0,19;0,21;0,21;0,21;0,21;0,23;0,23;0,23;0,25;.;0,29;0,35;0,36;0,39;.;0,49;0,56;0,59;0,77;1,12;1,44;1,81;2,13;2,6;3,32;5,45;18,69;100,36;187,39;275,54;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,11;0,12;0,12;0,13;0,14;0,15;0,15;0,16;0,15;0,16;0,17;0,18;0,18;0,2;.;0,22;0,25;0,28;0,3;.;0,38;0,42;0,47;0,57;0,9;1,12;1,34;1,57;1,85;2,33;3,88;13,68;72,69;139,13;200,18;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,09;0,1;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,15;0,16;0,16;.;0,19;0,22;0,24;0,26;.;0,32;0,35;0,39;0,47;0,75;0,93;1,12;1,29;1,54;1,91;3,25;11,59;59,81;110,11;160,12;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,07;0,08;0,09;0,09;0,09;0,09;0,1;0,11;0,1;0,11;0,12;0,12;0,13;0,14;.;0,15;0,18;0,2;0,22;.;0,26;0,28;0,32;0,39;0,63;0,76;0,92;1,05;1,25;1,55;2,64;9,35;48,84;88,9;123,96;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,06;0,07;0,07;0,08;0,08;0,08;0,08;0,08;0,09;0,09;0,1;0,1;0,1;0,11;.;0,13;0,15;0,16;0,17;.;0,21;0,23;0,25;0,31;0,54;0,65;0,75;0,86;1,02;1,27;2,18;7,76;39,63;71,51;99,52;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,05;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,08;0,08;0,08;0,08;0,1;.;0,1;0,12;0,13;0,15;.;0,18;0,2;0,21;0,27;0,5;0,54;0,64;0,73;0,85;1,02;1,77;6,12;32,18;58,78;75,52;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach robotniczych;zł;0,08;0,08;0,08;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,14;.;0,14;0,16;0,19;0,2;.;0,25;0,27;0,3;0,38;0,62;0,74;0,88;1,01;1,19;1,48;2,52;8,81;44,89;80,23;113,31;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,15;0,16;0,17;0,17;0,18;0,19;0,18;0,2;0,19;0,19;0,2;0,22;0,23;0,23;0,23;.;0,25;0,29;0,3;0,33;.;0,39;0,46;0,52;0,63;0,98;1,3;1,63;1,84;2,36;2,78;4,66;15,11;83,75;149,6;221,35;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,11;0,11;0,12;0,12;0,13;0,13;0,13;0,14;0,15;0,13;0,14;0,15;0,16;0,16;0,18;.;0,19;0,23;0,26;0,28;.;0,35;0,38;0,44;0,53;0,86;1,02;1,25;1,47;1,7;2,14;3,49;12,11;64,7;119,25;173,63;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,09;0,09;0,1;0,1;0,11;0,11;0,11;0,11;0,12;0,11;0,12;0,13;0,13;0,14;0,15;.;0,17;0,2;0,23;0,24;.;0,29;0,32;0,36;0,45;0,72;0,88;1,06;1,21;1,43;1,79;3,04;10,69;54,5;97,2;141,72;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,07;0,07;0,08;0,08;0,08;0,09;0,09;0,09;0,1;0,09;0,1;0,11;0,11;0,12;0,13;.;0,14;0,16;0,18;0,2;.;0,24;0,27;0,3;0,37;0,6;0,73;0,87;0,99;1,18;1,46;2,52;8,88;44,53;79,48;112,17;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,07;0,07;0,07;0,07;0,07;0,08;0,07;0,08;0,08;0,08;0,08;0,09;0,09;0,1;0,11;.;0,12;0,14;0,16;0,17;.;0,2;0,22;0,24;0,29;0,52;0,61;0,71;0,83;0,97;1,21;2,08;7,29;36,92;65,49;92,11;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,05;0,05;0,06;0,06;0,06;0,06;0,06;0,06;0,07;0,07;0,07;0,07;0,08;0,08;0,09;.;0,1;0,11;0,12;0,14;.;0,18;0,2;0,21;0,27;0,5;0,52;0,62;0,7;0,82;0,99;1,72;5,95;30,57;55,19;70,25;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym pracowników na stanowiskach nierobotniczych;zł;0,09;0,09;0,1;0,11;0,11;0,12;0,12;0,12;0,13;0,13;0,14;0,15;0,16;0,16;0,17;.;0,19;0,22;0,24;0,26;.;0,32;0,35;0,39;0,46;0,74;0,92;1,11;1,28;1,54;1,92;3,25;11,68;61,5;113,68;161,77;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,19;0,2;0,2;0,2;0,21;0,22;0,22;0,26;0,22;0,22;0,23;0,24;0,25;0,26;.;0,32;0,38;0,39;0,42;.;0,53;0,6;0,62;0,84;1,18;1,53;1,91;2,32;2,76;3,65;5,98;20,91;112,82;209,63;305,78;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,13;0,15;0,15;0,16;0,17;0,17;0,17;0,18;0,16;0,18;0,19;0,2;0,2;0,22;.;0,26;0,28;0,3;0,32;.;0,42;0,45;0,51;0,61;0,94;1,22;1,45;1,68;2,03;2,56;4,36;15,57;81,47;160,04;228,94;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,1;0,1;0,12;0,13;0,14;0,14;0,14;0,14;0,14;0,15;0,16;0,17;0,18;0,18;.;0,22;0,25;0,26;0,28;.;0,35;0,39;0,43;0,5;0,78;1;1,2;1,41;1,68;2,1;3,58;12,91;66,78;125,62;182,48;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,08;0,08;0,1;0,1;0,1;0,11;0,11;0,12;0,12;0,13;0,13;0,14;0,14;0,15;.;0,18;0,2;0,22;0,24;.;0,29;0,31;0,35;0,42;0,68;0,83;1,02;1,17;1,4;1,74;2,89;10,26;56,37;103,79;144,18;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,07;0,07;0,09;0,09;0,09;0,09;0,1;0,1;0,1;0,1;0,11;0,11;0,12;0,12;.;0,15;0,17;0,18;0,2;.;0,24;0,26;0,28;0,34;0,6;0,73;0,85;0,96;1,15;1,45;2,49;9,19;47,33;84,73;118,51;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,06;0,08;0,07;0,07;0,08;0,07;0,07;0,08;0,09;0,09;0,09;0,09;0,09;0,13;.;0,13;0,15;0,17;0,18;.;0,21;0,21;0,24;0,3;0,52;0,63;0,73;0,83;0,98;1,18;2,04;7,03;38,79;73,2;97,46;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym pracowników użytkujących gospodarstwo rolne;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,14;0,16;0,18;.;0,22;0,24;0,26;0,34;0,62;0,73;0,86;0,96;1,15;1,46;2,45;9,1;47,01;76,93;105,48;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,21;0,26;0,28;0,3;.;0,37;0,41;0,42;0,58;0,99;1,1;1,29;1,54;1,82;2,28;3,65;13,01;70,74;119,88;168,01;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,16;0,2;0,22;0,24;.;0,28;0,33;0,37;0,43;0,8;0,94;1,06;1,25;1,47;1,89;3,12;11,16;58,33;103,94;153,61;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,16;0,18;0,19;.;0,24;0,27;0,3;0,37;0,64;0,82;0,98;1,07;1,31;1,61;2,72;9,98;52,6;89,41;122,93;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,14;0,15;0,17;.;0,21;0,23;0,24;0,33;0,57;0,7;0,81;0,89;1,09;1,37;2,35;8,86;45,88;73,06;104,48;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,1;0,11;0,13;0,14;.;0,18;0,2;0,22;0,28;0,54;0,6;0,69;0,8;0,92;1,19;1,98;7,51;38,5;62,87;84,02;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym rolników;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,15;0,16;0,19;.;0,24;0,27;0,28;0,37;0,65;0,87;0,99;1,14;1,35;1,7;3;11,39;54,19;81,26;109,07;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,16;0,19;0,18;0,21;.;0,34;0,31;0,33;0,45;0,84;1,19;1,22;1,4;1,74;2,38;3,93;14,17;75,38;125,65;211,37;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,19;0,2;0,22;.;0,3;0,33;0,36;0,44;0,82;1,06;1,17;1,39;1,6;2,05;3,33;12,21;65,03;103,4;134,64;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,17;0,19;0,21;.;0,3;0,33;0,34;0,43;0,73;0,97;1,09;1,33;1,56;1,98;3,54;13,67;62,17;94,04;137,2;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,14;0,16;0,17;0,2;.;0,24;0,26;0,3;0,41;0,65;0,95;1,02;1,17;1,48;1,77;3,34;11,93;56,83;89,23;113,05;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,11;0,14;0,15;0,17;.;0,23;0,25;0,26;0,32;0,58;0,78;0,92;1,07;1,23;1,56;2,83;11,25;48,48;72,71;106,1;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,09;0,11;0,13;0,15;.;0,19;0,22;0,21;0,32;0,55;0,72;0,85;0,93;1,07;1,31;2,39;9,11;44,59;63,44;83,54;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 osobę w gospodarstwie domowym emerytów i rencistów;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,15;0,16;0,17;.;0,22;0,25;0,28;0,33;0,59;0,72;0,87;1,01;1,22;1,63;2,66;8,51;4,99;95,87;132,3;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,15;0,16;0,18;0,19;.;0,26;0,29;0,31;0,38;0,65;0,81;0,97;1,15;1,38;1,83;3,05;9,66;57,62;112,74;167,29;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,13;0,14;0,16;0,17;.;0,22;0,25;0,27;0,32;0,58;0,73;0,88;1,04;1,25;1,71;2,77;8,7;51,72;102,89;152,05;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;0,12;0,14;0,14;0,16;.;0,2;0,23;0,26;0,29;0,53;0,62;0,79;0,88;1,04;1,35;2,17;7,19;40,41;76,96;97,33;.;.;.;.;.
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe pracowników;zł;0,26;0,26;0,28;0,3;0,31;0,32;0,33;0,35;0,36;0,35;0,36;0,38;0,41;0,42;0,44;.;0,53;0,6;0,66;0,72;.;0,91;0,99;1,1;1,33;2,25;2,64;3,14;3,57;4,23;5,29;9,06;32,55;171,54;311,41;437,9;604,84;778,78;973,61;1252,36;1506,9
gospodarstwa 1-osobowe;zł;.;0,16;0,17;0,17;0,18;0,19;0,19;0,2;0,2;0,19;0,19;0,21;0,22;0,22;0,23;.;0,28;0,31;0,33;0,36;.;0,47;0,54;0,58;0,74;1,1;1,32;1,67;1,95;2,31;2,98;5,02;17,59;95,53;175,79;256,61;364,8;480,84;623,72;843,51;1018,56
gospodarstwa 2-osobowe;zł;.;0,21;0,24;0,24;0,26;0,27;0,28;0,29;0,31;0,29;0,3;0,32;0,34;0,34;0,37;.;0,42;0,47;0,51;0,56;.;0,72;0,79;0,89;1,06;1,74;2,07;2,48;2,88;3,42;4,29;7,15;25,94;138,68;260,64;373,32;534,21;701,42;856,13;1141,4;1418,21
gospodarstwa 3-osobowe;zł;.;0,26;0,28;0,31;0,32;0,34;0,34;0,36;0,37;0,37;0,39;0,4;0,42;0,44;0,46;.;0,54;0,61;0,67;0,73;.;0,91;1,01;1,1;1,32;2,19;2,6;3,1;3,56;4,24;5,31;9,12;33,24;172,25;313,32;451,5;605,89;781,95;998,74;1258,16;1526,2
gospodarstwa 4-osobowe;zł;.;0,28;0,31;0,34;0,35;0,36;0,36;0,39;0,41;0,4;0,42;0,45;0,47;0,48;0,52;.;0,58;0,66;0,74;0,81;.;0,99;1,08;1,21;1,46;2,47;2,84;3,43;3,87;4,59;5,74;9,87;35,78;188,43;336,81;468,1;624,04;806,84;1029,03;1319,84;1599,43
gospodarstwa 5-osobowe;zł;.;0,31;0,32;0,36;0,37;0,38;0,38;0,4;0,41;0,42;0,44;0,45;0,49;0,5;0,53;.;0,6;0,69;0,77;0,82;.;1,01;1,08;1,21;1,46;2,64;3,04;3,49;4,04;4,7;5,85;10,2;37,09;191,85;338,65;469,67;623,59;812,45;1039,34;1338,35;1552,81
gospodarstwa 6-osobowe i większe;zł;.;0,32;0,35;0,37;0,41;0,39;0,4;0,42;0,45;0,44;0,47;0,49;0,51;0,5;0,56;.;0,62;0,72;0,79;0,87;.;1,06;1,17;1,27;1,61;3,1;3,3;3,87;4,41;5,14;6,22;10,89;38,21;201,16;361,99;474,13;683,7;850,06;1045,84;1346,48;1602,95
Przeciętne miesięczne wydatki na 1 gospodarstwo domowe pracowników na stanowiskach robotniczych;zł;0,26;0,25;0,28;0,29;0,3;0,31;0,31;0,33;0,34;0,32;0,33;0,35;0,37;0,38;0,41;.;0,49;0,57;0,63;0,69;.;0,86;0,93;1,05;1,28;2,23;2,57;3,04;3,45;4,05;5,07;8,72;31,16;160,09;283,89;400,09;541,86;701,15;881,22;1109,59;1301,19
gospodarstwa 1-osobowe;zł;0,15;0,15;0,17;0,17;0,18;0,19;0,18;0,19;0,19;0,18;0,18;0,2;0,21;0,21;0,22;.;0,24;0,26;0,28;0,31;.;0,36;0,42;0,5;0,6;.;1,2;1,48;1,67;2,03;2,51;4,32;14,12;80,08;141,51;206,5;292,68;367,79;512,69;643,21;748,42
