﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja tkanin wełnianych i wełnopodobnych (bez surowych);t;12 700;17 500;23 400;28 100;30 900;33 300;31 200;34 700;35 000;35 006;35 906;36 153;37 008;38 430;39 141;39 018;40 548;39 550;41 017;40 512;41 587;41 377;43 446;45 341;46 037;47 320;47 487;50 515;55 015;58 632;59 255;59 807;60 076;59 622;58 744;51 284;44 046;48 008;49 560;50 311;47 631;45 124;46 092;43 763;28 976;19 287;14 241;13 610;14 226;13 669;14 033;13 581;11 805;8514
Produkcja tkanin lnianych i konopnych (bez surowych);km;23 000;25 600;32 700;47 200;57 900;55 600;56 400;50 800;43 900;51 406;64 169;69 004;73 669;81 248;81 013;89 531;92 498;94 362;98 909;94 016;97 767;105 916;115 845;120 942;127 678;117 076;133 066;136 534;142 209;145 095;145 828;145 879;132 530;111 210;104 868;85 784;74 287;80 412;82 603;81 992;83 577;83 841;83 514;75 002;35 547;26 609;20 331;18 801;23 195;18 613;11 321;10 444;8609;7017
Produkcja tkanin lnianych i konopnych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;42 400;52 384;57 746;63 280;71 134;71 150;81 518;84 516;86 851;96 226;94 528;100 583;110 390;118 874;125 799;125 749;119 486;131 475;135 921;141 426;144 721;146 066;146 796;137 576;110 536;102 786;81 965;75 669;81 222;85 186;84 066;86 466;85 202;85 060;77 819;36 721;28 865;23 537;21 945;28 719;22 412;13 211;11 831;10 859;9071
Produkcja tkanin lnianych i konopnych (bez surowych);t;6300;8200;8800;10 700;13 300;14 400;13 400;14 000;12 100;14 704;17 693;19 323;20 794;23 173;22 938;26 528;28 066;28 828;32 161;32 257;33 787;36 711;39 672;42 381;42 214;40 244;43 038;43 638;45 545;45 764;44 590;43 388;40 000;32 106;29 194;23 758;20 228;21 789;22 355;22 247;22 721;22 889;22 190;20 090;9155;7057;5898;5398;7433;6189;3292;2971;2645;2135
Produkcja tkanin jutowych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;36 996;39 402;41 318;44 604;47 517;52 597;50 027;54 087;57 525;58 859;57 857;60 654;61 953;62 200;60 038;59 813;52 988;49 307;52 246;54 159;70 778;71 886;75 267;73 162;70 708;70 329;60 232;51 674;44 019;35 510;37 328;34 422;35 487;36 744;32 110;25 007;21 082;9630;5608;6200;5329;5172;5404;3577;1905
Produkcja tkanin jutowych (bez surowych);t;3800;7900;7800;4300;7800;11 200;10 200;8500;11 500;13 600;14 400;14 800;16 200;17 100;18 871;18 243;20 222;19 742;20 114;20 232;20 142;21 150;20 967;21 438;20 428;19 639;18 936;19 905;20 567;21 039;20 294;20 151;18 920;17 551;17 612;15 480;13 752;11 994;10 627;10 713;10 437;10 857;10 653;9247;7901;6007;2522;1444;1667;1271;1242;1248;846;549
Produkcja tkanin jedwabnych i jedwabnopodobnych (bez surowych);km;6600;21 700;33 900;47 700;54 400;66 000;67 900;68 000;74 900;81 253;85 528;90 849;97 414;104 649;111 631;111 174;104 549;107 442;119 136;125 682;127 891;139 172;145 556;151 341;156 016;162 171;169 253;187 072;186 645;179 554;190 054;177 210;167 688;163 494;163 276;142 511;128 999;136 050;137 748;136 615;128 547;120 247;131 411;123 197;88 311;65 497;68 230;60 998;77 960;77 363;72 573;75 391;69 678;51 751
z jedwabiu naturalnego;km;—;—;—;—;—;171;678;654;765;1010;1073;1394;1500;1164;1262;1369;1228;781;814;859;1020;1045;1063;1134;1277;1265;1375;1464;1216;1231;1273;1400;1367;1733;1401;1399;774;1000;1193;911;1370;1323;1288;1040;189;147;121;90;89;34;21;11;—;—
z jedwabiu celulozowego;km;6600;21 700;33 900;47 700;54 378;65 800;67 200;67 300;74 100;80 196;83 834;87 350;92 907;98 315;103 075;100 523;92 828;94 041;102 459;103 183;104 154;114 228;118 129;119 085;116 260;114 521;107 743;113 158;109 586;100 860;100 569;88 474;81 725;78 399;74 781;57 310;51 981;58 315;60 544;59 768;52 872;52 647;60 534;49 964;30 208;21 552;15 419;16 253;15 599;17 226;18 562;19 398;18 935;12 311
z włókien syntetycznych;km;—;—;—;—;22;29;22;46;35;46;621;2104;3007;5170;7294;9282;10 493;12 620;15 863;21 640;22 717;23 899;26 364;31 122;38 301;46 179;59 634;72 225;75 615;77 202;86 349;86 844;84 384;83 320;86 734;82 755;74 576;76 471;74 906;75 071;73 461;65 752;69 072;71 853;56 845;42 614;52 216;42 420;57 780;54 047;47 309;46 232;40 675;27 497
Produkcja tkanin jedwabnych i jedwabnopodobnych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;73 135;76 800;81 881;88 293;95 578;103 820;104 431;100 233;103 814;115 052;122 300;125 481;135 609;144 943;152 525;155 300;162 278;173 484;196 693;200 281;193 242;205 023;192 732;182 846;180 801;183 766;161 041;146 472;154 823;155 427;155 418;148 261;139 805;155 484;148 888;114 187;89 926;98 330;88 501;112 542;112 272;104 972;109 299;101 093;73 311
z jedwabiu naturalnego;tys. m2;—;—;—;—;—;.;.;.;.;918;970;1242;1329;1024;1101;1187;1049;672;691;713;828;833;866;936;1074;1090;1190;1296;1058;1065;1101;1241;1222;1541;1229;1245;692;887;1040;832;1246;1193;1167;986;170;133;108;81;80;31;19;10;—;—
z jedwabiu celulozowego;tys. m2;.;.;.;.;.;.;.;.;.;.;.;78 823;84 294;90 000;96 303;95 016;89 874;91 929;100 133;101 885;103 832;112 872;119 382;122 025;117 899;116 751;110 274;117 103;115 367;106 992;107 085;96 047;88 213;84 556;82 293;63 318;57 504;64 475;67 219;67 018;60 091;59 518;70 262;59 079;37 541;28 296;21 196;22 774;21 797;24 530;26 490;27 578;27 043;17 644
z włókien syntetycznych;tys. m2;—;—;—;—;.;.;.;.;.;39;560;1815;2670;4554;6416;8228;9310;11 213;14 228;19 702;20 821;21 904;24 695;29 564;36 186;44 241;61 348;77 926;83 527;83 448;94 424;94 967;93 162;94 656;99 826;94 991;86 476;89 119;86 906;86 538;85 990;78 574;83 561;88 453;75 109;60 076;76 357;62 639;84 466;78 818;68 875;67 336;59 732;40 062
Produkcja tkanin jedwabnych i jedwabnopodobnych (bez surowych);t;1100;2800;4300;6500;7800;8600;9100;9100;9500;10 598;11 218;11 928;12 426;13 592;14 797;15 102;14 283;14 874;16 120;16 580;17 116;18 457;19 856;20 282;20 450;20 564;21 161;22 109;22 183;21 201;21 730;19 963;18 846;18 664;18 509;15 958;14 881;15 717;16 173;16 267;15 350;14 836;16 231;15 561;11 157;8411;8361;7871;10 504;11 569;11 165;11 523;11 237;8760
Produkcja tkanin transporterowych i oponowych (bez surowych);km;221;1406;2353;3266;3834;2420;3729;4962;6673;6935;8267;9846;9578;13 724;14 886;18 384;22 747;23 075;23 726;25 723;27 575;26 773;27 729;30 056;30 182;30 935;35 582;38 914;40 257;39 892;43 089;41 846;39 901;37 856;38 481;29 366;28 283;25 611;27 063;27 196;26 151;25 427;27 405;24 960;15 049;10 864;14 345;14 470;16 718;18 727;16 527;15 284;16 942;17 307
Produkcja tkanin transporterowych i oponowych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;9633;11 482;13 771;13 336;19 620;21 480;26 352;32 560;33 467;34 067;36 868;39 637;38 236;39 667;42 839;43 414;44 697;51 372;55 886;58 222;57 251;61 956;60 334;58 795;55 416;56 387;43 138;41 385;37 563;39 510;39 855;38 267;37 292;40 140;36 354;22 055;15 956;21 134;20 583;23 603;26 244;23 006;21 165;23 572;24 143
Produkcja tkanin transporterowych i oponowych (bez surowych);t;243;1022;1640;2169;2663;2002;2879;3768;4725;5025;5962;7097;7061;9354;9852;12 034;15 205;15 948;15 603;16 993;18 302;18 171;18 683;20 178;20 665;20 947;22 638;24 356;25 208;24 965;27 210;27 238;26 036;24 475;24 665;18 697;18 779;14 155;14 270;14 186;13 724;13 583;14 283;13 567;7153;5411;7270;7589;8628;9718;8722;7988;8569;8411
Produkcja dywanów;tys. m2;58;115;150;174;226;291;295;351;422;531;620;780;895;1067;1363;1499;2295;2344;1835;2610;2695;2839;3489;3944;4273;4950;4999;6073;7209;8408;10 971;10 177;10 772;11 100;11 379;9798;9072;10 719;10 894;11 632;12 400;12 970;13 275;12 941;9990;6591;5920;6643;7539;7398;6288;3711;4013;3635
Produkcja dywanów;t;102;207;270;314;458;570;554;632;751;936;1115;1405;1616;1920;2451;2721;4339;4357;3207;4891;5016;5155;6239;7024;7628;8935;9021;11 503;13 331;15 669;19 626;18 438;19 583;20 579;20 329;17 651;16 110;18 590;18 847;17 919;21 007;22 032;22 619;21 946;17 694;12 642;12 078;12 741;13 900;13 293;11 179;6884;7081;6957
Produkcja wyrobów dziewiarskich (bez dzianiny metrażowej);t;2141;2900;3600;5356;7313;9285;9824;10 209;10 246;11 348;11 600;12 690;13 848;16 100;18 202;19 844;20 903;20 693;22 633;24 092;25 747;27 017;28 623;30 432;33 408;36 685;41 178;44 045;45 730;44 714;46 442;48 793;49 991;49 845;46 693;39 956;31 497;35 854;38 300;40 329;40 431;38 138;38 734;38 167;27 547;18 848;14 384;13 509;15 176;21 869;24 194;31 109;31 972;32 436
okryć i ubiorów;t;.;.;.;1456;1783;2365;2417;2534;2374;2483;3548;4187;5038;6681;8137;9412;10 507;9970;10 336;10 697;11 997;12 899;13 866;14 231;15 243;16 954;19 872;24 426;25 729;25 394;27 312;28 674;30 177;28 345;25 930;21 791;18 812;21 110;21 950;22 240;22 088;20 964;22 097;22 680;17 731;11 852;9285;9168;9736;13 986;15 323;21 460;21 597;21 486
bielizny osobistej z dzianin;t;.;.;.;.;.;.;.;.;.;5818;6468;6668;6842;7680;8953;9305;9305;9666;11 065;12 104;12 191;12 584;13 300;14 724;16 298;17 885;19 372;17 649;18 051;17 158;17 074;18 151;17 954;19 502;18 833;16 729;11 475;13 477;14 578;16 198;16 564;15 446;14 807;13 794;8788;6352;4724;3879;4951;6370;7460;7805;8805;9099
Produkcja okryć i ubiorów;tys. szt.;.;.;.;4111;6615;9060;9595;10 661;9565;12 752;18 129;22 513;27 311;38 049;48 435;53 167;55 612;48 317;49 404;53 820;61 863;65 441;68 058;71 749;74 588;85 013;96 946;110 058;121 039;134 196;152 611;154 822;160 754;148 833;144 887;120 590;127 983;138 425;134 425;133 122;122 187;108 755;110 388;109 166;71 630;49 853;36 561;39 804;41 594;51 308;54 782;60 983;59 956;60 363
Produkcja bielizny osobistej z dzianin;tys. szt.;—;—;—;15 046;19 927;23 372;32 272;31 962;28 077;36 256;40 736;43 124;44 543;52 280;68 692;73 994;78 286;79 286;84 228;89 244;87 949;96 162;110 538;128 176;139 092;143 783;170 179;165 635;171 961;177 312;198 900;219 062;198 503;183 547;195 746;187 984;154 019;175 084;191 119;201 621;180 935;151 216;150 118;153 097;81 843;53 338;38 817;36 698;57 439;57 691;66 927;70 909;73 754;70 355
Produkcja wyrobów pończoszniczych;tys. par;20 643;31 428;40 803;53 568;56 460;62 893;77 222;84 914;86 317;92 286;99 932;105 541;104 275;93 095;98 068;102 789;103 351;105 348;120 259;131 856;132 636;125 919;115 825;118 672;134 984;147 564;163 872;167 960;170 654;186 541;197 681;225 843;251 285;250 510;258 688;226 839;218 003;230 780;246 718;274 926;301 947;296 096;315 230;307 459;262 326;216 878;169 274;132 649;142 288;147 532;149 780;177 723;176 913;167 368
pończoch, rajstop i rajtuzów;tys. par;.;.;.;.;.;.;.;.;.;44 248;46 795;48 614;52 001;47 539;48 410;51 873;57 882;61 118;60 011;53 765;53 004;61 243;69 591;75 829;81 899;80 794;87 918;93 882;89 980;96 332;103 376;112 623;127 393;128 502;132 139;115 420;118 970;124 123;129 893;143 184;162 490;172 357;193 770;188 597;145 950;125 773;94 201;71 746;76 101;78 120;74 627;91 522;94 174;86 013
skarpet (z podkolanówkami);tys. par;.;.;.;24 291;31 446;32 034;42 836;44 620;44 387;48 038;53 137;56 926;50 700;45 551;49 658;50 916;45 469;44 230;60 248;78 091;79 632;64 676;46 234;42 843;53 085;66 770;75 954;74 078;80 674;90 209;94 305;113 220;123 892;122 008;126 549;111 419;99 033;106 607;116 786;131 705;139 296;123 559;121 460;118 862;115 480;86 993;66 355;59 946;61 450;60 352;67 493;79 109;76 833;74 477
Produkcja wyrobów włókienniczych nietkanych (włókniny i przędziny);km;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2;248;1154;3161;8085;8576;8404;9597;10 105;11 026;18 030;20 587;22 963;26 010;29 676;45 718;62 504;79 549;67 942;77 844;90 495;76 487;77 849;79 079;83 777;180 341;176 699;196 443;230 960;234 459;197 359;232 531;247 321;280 524;336 358;321 352;364 107;337 711;319 443;395 667
Przerób tkanin na konfekcję;km;.;.;.;119 400;164 200;207 000;217 000;210 700;203 000;206 313;229 860;274 821;308 948;293 197;285 909;299 835;337 214;356 658;390 843;428 261;451 558;429 442;441 601;493 349;532 119;566 085;607 421;623 906;632 762;683 168;701 587;714 596;719 189;732 997;714 751;632 278;602 192;575 289;602 206;693 247;647 911;631 318;539 388;490 247;308 117;249 426;248 227;262 442;282 387;314 691;301 592;.;.;.
bawełnianych i bawełnopodobnych;km;.;.;.;95 900;126 000;155 000;167 000;166 000;165 000;158 257;173 736;213 194;239 107;222 216;217 222;224 515;256 995;272 320;304 829;341 048;348 154;316 060;319 361;360 701;394 611;420 902;410 304;413 605;434 069;444 563;461 967;469 933;473 161;455 636;467 627;422 302;427 874;403 324;426 223;494 074;448 254;441 758;365 288;340 468;210 017;153 968;142 438;155 335;163 648;200 563;178 755;.;.;.
wełnianych i wełnopodobnych;km;.;.;.;10 500;17 100;21 300;20 100;19 100;15 100;21 999;24 177;25 123;27 508;24 868;25 829;30 690;32 230;33 011;34 164;33 360;38 572;42 326;42 802;43 018;43 109;45 202;52 452;55 598;55 254;68 130;74 908;75 455;74 582;65 385;68 371;60 190;53 141;50 520;48 326;50 740;48 313;44 055;39 091;35 656;24 307;26 757;31 629;29 377;33 852;39 651;34 566;.;.;.
jedwabnych i jedwabnopodobnych;km;.;.;.;7500;12 900;19 600;19 300;16 700;15 200;17 683;21 886;25 428;29 000;30 019;28 838;30 084;33 432;36 259;37 201;39 570;49 297;53 017;58 178;61 631;66 007;68 097;84 391;90 498;83 432;90 961;95 488;98 081;97 512;95 509;97 926;81 206;77 313;77 501;74 706;83 024;81 356;72 633;72 807;61 776;41 863;32 510;35 156;34 439;40 431;40 482;34 947;.;.;.
lnianych i konopnych;km;.;.;.;5500;8200;10 700;10 100;8900;7700;7130;9012;10 467;12 486;15 342;13 373;13 923;13 696;14 109;13 899;13 030;14 546;15 977;18 682;25 494;24 543;22 701;49 809;49 240;53 695;63 084;60 808;64 877;67 302;66 851;74 610;58 887;42 077;40 970;42 350;48 842;46 821;45 726;43 231;38 391;25 264;20 188;14 952;16 084;12 221;12 626;11 590;.;.;.
pozostałych;km;.;.;.;—;—;400;500;—;—;1244;1049;609;847;752;647;623;861;959;750;1253;989;2062;2578;2505;3849;9183;10 465;14 965;6312;16 430;8416;6250;6632;49 616;6217;9693;1787;2974;10 601;16 567;23 167;27 146;18 971;13 956;6666;16 003;24 052;27 207;32 235;21 369;41 734;.;.;.
Produkcja okryć i ubiorów z tkanin;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;71 306;74 100;75 100;76 600;82 722;81 901;71 753;74 916;73 093;71 248;74 710;76 303;82 120;75 080;69 661;49 668;50 244;56 916;65 818;79 127;93 761;97 631;100 657;99 676;95 595
Produkcja skór twardych;t;4500;5200;10 800;15 000;14 200;16 400;14 000;14 800;17 500;18 300;18 000;20 300;20 700;21 000;20 012;17 547;17 207;15 778;14 336;13 621;14 126;14 341;12 331;11 880;11 890;9871;10 550;11 197;10 390;10 535;9952;9612;9593;9337;9168;7133;6229;7150;6938;5804;5687;5416;4788;6573;4005;2209;1796;1675;1801;397;544;550;213;293
do produkcji obuwia;t;3900;4300;9300;12 900;13 000;14 200;11 700;12 700;15 300;16 300;15 900;17 500;17 800;17 900;17 736;15 420;15 079;13 549;12 302;11 490;12 065;11 938;9604;8870;8800;7840;8179;8377;7354;7991;7603;7390;6998;6991;6991;5268;4698;5507;5182;4060;3884;3961;3854;5789;3486;1715;1380;1349;1425;90;112;131;120;185
pozostałych;t;600;900;1500;2100;1200;2200;2300;2100;2200;2000;2100;2800;2900;3100;2276;2127;2128;2229;2034;2131;2061;2403;2727;3010;3090;2031;2371;2820;3036;2544;2349;2222;2595;2346;2177;1865;1531;1643;1756;1744;1803;1455;934;784;519;494;416;326;376;307;432;419;93;108
Produkcja skór miękkich;tys. m2;1273;1447;2720;4240;5107;7127;5468;5912;7399;7997;8656;9274;10 055;11 275;12 182;12 127;13 507;13 966;15 940;16 236;17 733;18 689;19 861;20 852;21 868;22 783;25 214;29 345;30 672;31 517;32 005;31 952;31 934;31 762;31 763;27 568;27 193;30 081;29 873;30 728;31 554;31 780;31 715;29 852;20 201;14 013;11 904;10 765;10 895;12 213;12 448;13 367;11 573;8861
na wierzchy obuwnicze;tys. m2;1112;1232;1912;3639;4294;5738;4959;4085;5247;5507;5511;5809;5832;6497;6789;6797;7447;8214;8884;9519;10 210;10 748;11 064;11 171;11 805;12 704;12 555;14 747;15 050;15 353;15 510;16 395;15 333;16 082;15 737;12 846;14 149;15 806;16 077;16 152;16 183;15 779;14 861;14 095;9156;5785;4448;3926;4620;5745;4695;4622;4912;3501
pozostałych;tys. m2;161;215;808;601;813;1389;509;1827;2152;2490;3145;3465;4223;4778;5393;5330;6060;5752;7056;6717;7523;7941;8797;9681;10 063;10 079;12 659;14 598;15 622;16 164;16 495;15 557;16 601;15 680;16 026;14 722;13 044;14 275;13 796;14 576;15 371;16 001;16 854;15 757;11 045;8228;7456;6839;6275;6468;7753;8745;6661;5360
Produkcja obuwia (z gumowym);tys. par;4598;6031;11 585;18 815;28 656;41 444;44 789;50 338;51 551;54 968;61 265;68 816;74 864;77 241;82 398;86 835;93 176;96 295;107 022;112 258;110 580;115 303;124 849;134 087;141 905;147 263;154 801;151 578;158 167;163 216;163 458;158 658;159 257;161 560;162 311;144 661;144 197;161 032;165 197;163 910;160 152;163 578;166 625;160 661;104 588;71 093;58 572;50 702;56 260;62 781;69 872;71 832;57 115;50 363
z cholewką skórzaną;tys. par;3600;3800;6000;8583;11 536;17 801;18 231;20 839;23 195;24 567;27 541;30 137;34 605;37 569;38 979;39 262;42 948;43 411;49 324;52 662;51 429;55 897;60 286;64 178;62 180;61 935;65 998;69 797;76 345;73 020;80 047;75 959;73 494;72 792;72 387;66 167;67 283;72 214;73 186;70 332;67 913;65 565;61 906;55 092;43 273;28 538;22 817;20 935;22 639;24 630;26 884;27 652;24 408;22 594
z cholewką tekstylną, z tworzyw sztucznych i syntetycznych;tys. par;—;—;—;1563;3585;5880;7590;9515;9918;11 727;13 593;16 080;17 120;17 083;19 913;24 183;25 652;28 873;32 240;34 574;32 585;30 729;33 965;38 385;45 728;46 617;52 590;50 131;52 072;61 590;55 625;57 095;62 370;67 221;68 247;60 071;58 916;69 283;73 890;77 271;79 083;86 054;93 733;95 741;54 927;38 319;32 364;26 970;30 597;35 153;39 736;40 861;30 083;25 944
gumowego i tekstylno-gumowego;tys. par;998;2231;5585;8669;13 535;17 763;18 968;19 984;18 438;18 674;20 131;22 599;23 139;22 589;23 506;23 390;24 576;24 011;25 458;25 022;26 566;28 677;30 598;31 524;33 997;38 711;36 213;31 650;29 750;28 606;27 786;25 604;23 393;21 547;21 677;18 423;17 998;19 535;18 121;16 307;13 156;11 959;10 986;9828;6388;4236;3391;2797;3024;2998;3252;3319;2624;1825
