﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
spółdzielnie produkcyjne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;30 900;31 600;19 300;17 400;15 100;15 100;15 800;15 000;14 900;13 500;11 800;10 300;14 100;10 800;7100;6900;5100;3600;4000;4400;4500;9400;7800;9100;8424;6777;6719;6077;4919;6393;12 046;7795;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;800;1400;2200;2200;2000;1000;1300;1100;1500;—;—;.;.;.;800;3600;3100;3200;300;300;100;104;65;40;29;25;123;23;142;.;.;.;.;.;.;.;.
gospodarstwa indywidualne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;2 904 600;2 609 100;2 591 300;2 421 500;2 300 100;2 254 000;2 222 500;2 177 700;2 274 100;2 476 000;1 972 500;2 042 900;1 747 200;1 715 000;1 775 400;1 635 700;1 580 400;1 184 100;1 345 100;1 163 400;1 294 200;1 372 500;1 580 300;1 523 800;1 448 100;1 185 900;1 139 300;1 047 770;859 010;994 978;1 409 717;1 284 848;1 147 325;1 068 102;1 046 017;988 955;995 328;974 499;1 094 255;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;386;3780;7208;9880;7475;9329;12 511;.
Produkcja żywca rzeźnego - trzoda chlewna;szt.;2 310 000;4 018 000;4 560 000;5 770 000;9 161 400;8 392 400;8 421 600;9 430 000;9 540 000;10 373 200;11 293 000;12 151 300;12 989 400;11 930 500;12 070 000;14 237 800;14 261 300;12 355 700;12 040 600;14 402 900;14 636 600;14 939 600;14 664 800;14 869 200;14 612 500;14 704 100;17 953 300;20 406 600;21 580 400;20 626 100;17 886 800;16 584 800;19 874 300;19 485 200;19 566 900;15 786 300;16 364 800;15 048 700;13 854 194;16 052 127;19 115 291;18 916 142;19 826 863;20 043 486;19 838 396;22 339 917;23 576 119;22 837 360;19 870 775;22 694 011;23 570 383;21 776 432;23 246 597
gospodarstwa państwowe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 189 500;1 627 600;1 546 800;1 428 900;1 462 500;1 787 500;1 791 000;1 832 300;1 767 600;1 899 700;1 893 300;2 124 500;2 529 400;3 073 200;3 500 100;3 948 500;4 007 500;4 000 300;5 051 400;5 037 200;5 464 000;4 719 200;3 945 200;4 055 000;4 058 143;4 438 073;4 981 651;5 128 054;5 353 020;5 353 825;5 002 756;4 524 646;3 792 720;2 600 402;1 250 472;1 022 001;960 736;811 400;692 527;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 900 600;1 345 600;916 200;832 800;695 351;778 754;923 340;976 288;1 060 550;1 222 263;1 129 546;1 225 893;1 168 014;1 114 052;874 265;957 317;961 845;890 773;792 185;.
spółdzielnie produkcyjne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;124 600;148 500;129 400;97 200;99 100;118 800;123 900;126 100;115 000;114 400;113 900;137 500;193 700;268 800;387 400;554 500;615 100;654 500;988 000;1 061 500;1 139 500;942 500;742 300;728 500;610 500;691 566;826 907;883 755;978 252;1 137 801;1 067 643;1 133 872;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;.;.;.;.;800;900;700;2400;9000;31 300;97 300;298 000;940 300;1 074 500;1 088 600;1 421 600;970 800;761 100;403 100;173 900;104 300;84 851;87 188;96 433;92 533;82 298;84 462;61 903;92 021;.;.;.;.;.;.;.;.
gospodarstwa indywidualne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 755 900;12 461 700;12 585 100;10 829 600;10 479 000;12 496 600;12 721 700;12 980 400;12 781 300;12 854 400;12 602 900;12 433 100;15 198 900;16 967 300;17 394 900;15 182 800;12 189 700;10 841 400;12 413 300;12 415 700;12 202 300;9 721 500;11 503 400;10 160 900;9 100 700;10 835 300;13 210 300;12 811 800;13 413 293;13 467 398;13 706 094;16 589 378;18 576 203;18 721 958;17 103 053;19 691 151;20 377 500;18 810 395;20 637 951;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;39 182;400 948;642 985;1 023 542;1 270 302;1 263 864;1 123 934;.
Produkcja żywca rzeźnego - owce;szt.;116 000;177 000;282 100;324 000;270 000;540 000;577 400;633 000;785 000;1 333 500;1 447 200;1 527 600;1 465 800;1 499 900;1 490 100;1 481 500;1 443 600;1 303 600;1 157 300;1 085 600;1 069 400;1 078 200;1 162 000;1 170 700;1 096 800;1 096 800;1 180 700;1 167 600;1 132 300;1 014 500;1 005 500;929 000;1 236 400;1 363 400;1 356 800;1 237 200;1 285 700;1 254 000;1 497 383;1 824 578;2 181 909;2 405 019;2 313 665;2 235 616;2 645 943;2 663 505;2 220 613;1 466 725;734 755;509 954;405 010;270 422;283 146
gospodarstwa państwowe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;76 100;106 500;97 000;103 900;104 300;113 300;110 700;120 800;119 800;130 200;127 000;129 600;138 400;151 900;153 400;194 300;205 100;283 000;333 300;385 900;443 300;375 400;311 000;318 400;422 584;479 360;533 716;687 894;710 117;712 670;858 980;973 781;471 686;265 445;99 018;60 552;53 121;33 731;25 369;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;166 300;127 400;92 100;104 700;146 099;171 213;214 042;212 418;233 583;214 421;189 808;235 967;85 773;55 614;34 075;22 047;16 443;13 593;10 630;.
spółdzielnie produkcyjne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;17 700;15 200;12 000;9600;8500;10 000;8200;8700;11 000;12 500;10 500;13 000;15 300;15 400;19 900;23 500;26 800;36 800;56 600;87 300;117 800;102 400;79 200;95 700;135 922;161 212;203 511;200 742;220 469;201 070;182 029;194 999;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;1500;1300;2000;5400;2700;.;—;—;—;1700;3900;7100;10 400;18 200;33 300;45 300;52 500;48 500;25 000;12 900;9000;10 177;10 001;10 531;11 676;13 114;13 351;7779;40 968;.;.;.;.;.;.;.;.
gospodarstwa indywidualne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 396 300;1 359 800;1 334 600;1 188 600;1 043 200;960 300;945 100;946 000;1 031 200;1 028 000;959 300;954 200;1 025 300;996 400;951 900;786 300;755 400;575 900;801 200;837 700;747 200;734 400;882 600;830 900;928 700;1 174 005;1 434 151;1 504 707;1 369 965;1 308 525;1 597 155;1 453 757;1 643 907;1 101 567;552 775;372 583;293 067;199 562;229 660;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19 247;44 099;48 887;54 772;42 379;23 536;17 487;.
Produkcja żywca rzeźnego - konie;szt.;6900;7700;9600;30 200;26 800;89 600;95 800;121 300;99 000;70 800;27 900;11 300;16 200;78 200;107 400;96 500;83 400;71 500;72 200;54 400;64 300;55 800;77 000;92 600;127 100;142 700;125 300;107 800;133 500;153 800;170 200;185 200;188 000;178 700;144 900;92 500;80 000;141 800;180 098;195 100;159 755;144 552;90 966;71 855;73 566;54 423;146 745;132 159;116 355;80 207;98 142;105 491;115 674
gospodarstwa państwowe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 200;8400;7000;7400;6500;5100;5300;6400;7600;7900;8900;8400;8100;6000;4600;4200;5400;2700;2600;2100;2000;1500;1300;1500;1243;1800;1687;1565;1051;563;555;238;165;142;58;122;8;5;43;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;355;.;182;145;105;148;.;73;18;15;5;4;50;8;—;.
spółdzielnie produkcyjne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;5200;400;—;100;200;.;.;.;.;100;.;100;100;100;100;—;—;100;200;200;200;200;100;100;264;100;178;144;100;136;368;70;.;.;.;.;.;.;—;.
kółka rolnicze;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1900;300;100;.;.;.;.;.;91;.;4;1;5;12;.;3;.;.;.;.;.;.;—;.
gospodarstwa indywidualne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;92 000;87 700;76 400;64 000;65 500;49 300;59 000;49 400;69 400;84 600;118 200;134 200;117 100;101 700;128 800;149 600;162 900;182 100;185 100;176 400;142 700;90 800;78 600;140 200;178 500;193 200;157 886;142 842;89 810;71 144;72 643;54 112;146 562;132 002;116 289;80 081;98 084;105 449;115 626;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3;—;—;29;5;.
Produkcja żywca rzeźnego w wadze żywej;t;462 200;705 400;856 300;1 075 400;1 689 800;1 549 000;1 482 700;1 637 500;1 623 100;1 777 300;1 982 000;2 141 400;2 301 100;2 246 000;2 322 500;2 572 800;2 652 100;2 477 400;2 553 800;2 731 700;2 815 900;2 921 600;2 992 300;3 123 200;3 053 500;3 063 700;3 381 300;3 729 300;4 191 000;4 214 300;4 055 100;4 006 800;4 347 900;4 529 200;4 397 200;3 522 200;3 629 900;3 512 313;3 554 399;3 916 946;4 352 063;4 330 914;4 390 195;4 298 173;4 493 782;4 533 324;4 313 201;3 939 609;3 593 406;3 912 382;4 108 576;4 020 776;4 307 484
bydło;t;122 800;150 800;215 300;232 500;345 000;291 000;283 900;307 000;286 000;331 000;397 900;367 700;433 100;484 400;481 600;523 900;628 300;719 400;776 200;692 300;705 300;822 700;902 400;960 100;924 400;901 900;863 200;941 900;1 208 800;1 325 300;1 429 200;1 322 200;1 314 500;1 412 900;1 345 200;968 700;1 251 300;1 208 893;1 288 490;1 375 796;1 431 909;1 413 388;1 365 300;1 243 341;1 428 308;1 224 249;944 126;784 731;717 211;715 766;745 331;770 372;804 805
cielęta;t;33 600;45 800;57 100;58 100;94 000;101 100;113 700;116 300;109 000;111 800;108 200;126 300;161 200;158 900;158 400;147 300;145 800;136 200;134 900;142 500;139 400;145 300;147 100;159 600;136 100;121 000;98 900;98 800;105 800;93 800;89 600;66 200;80 000;69 700;75 800;77 700;99 600;92 555;82 687;62 774;61 568;60 032;55 094;73 413;104 320;97 146;89 309;83 319;81 639;76 563;77 127;74 181;87 664
trzoda chlewna;t;267 400;465 300;527 800;714 800;1 176 600;1 043 300;954 200;1 065 000;1 080 000;1 183 200;1 333 200;1 496 600;1 558 800;1 418 600;1 452 200;1 662 100;1 641 000;1 402 400;1 407 900;1 659 200;1 708 900;1 686 600;1 650 600;1 691 600;1 653 700;1 687 800;2 040 900;2 282 300;2 426 000;2 298 800;1 978 200;1 983 900;2 263 200;2 300 700;2 216 500;1 739 600;1 893 800;1 785 755;1 643 588;1 889 216;2 215 343;2 202 558;2 318 257;2 330 214;2 340 901;2 578 523;2 652 048;2 531 585;2 225 542;2 574 579;2 656 836;2 429 496;2 601 151
owce;t;4200;5500;10 200;12 000;9500;20 000;22 400;23 900;30 000;47 800;53 900;58 000;56 300;61 500;54 800;52 700;50 300;44 300;39 500;39 200;40 100;43 500;47 300;48 500;46 900;46 100;49 300;49 600;47 700;44 500;44 200;48 500;56 100;60 300;58 800;53 200;52 300;53 345;60 861;74 971;88 086;93 769;88 350;83 367;95 735;104 308;82 891;52 348;25 198;17 619;13 544;8352;7930
konie;t;2400;2600;3100;10 100;9700;33 900;36 200;46 600;39 000;28 800;11 500;4800;6800;32 300;48 000;45 800;39 400;31 500;33 800;25 700;31 000;25 900;35 700;41 900;64 200;68 500;60 400;51 900;66 100;77 200;86 700;96 200;95 600;92 200;74 800;45 600;40 000;72 626;91 992;100 249;84 202;76 947;48 680;37 750;37 522;27 545;74 632;65 745;60 156;41 141;49 267;52 166;54 907
drób;t;31 800;35 400;42 800;47 900;55 000;59 700;72 300;78 700;79 100;74 700;77 300;88 000;84 900;90 300;99 100;112 800;119 300;116 000;129 900;140 400;159 300;166 000;178 400;191 400;198 000;208 000;238 200;272 100;301 800;343 100;401 200;462 100;511 400;565 200;599 300;614 800;264 800;269 312;363 112;391 713;449 050;464 580;495 755;516 963;474 395;490 294;460 219;412 394;474 703;477 921;557 317;676 872;741 868
kozy i króliki;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;28 400;28 200;28 000;27 600;31 600;32 400;31 900;31 600;30 800;30 100;30 200;30 400;30 400;32 700;34 800;31 600;26 000;27 700;27 100;28 200;26 800;22 600;28 100;29 827;23 669;22 227;21 905;19 640;18 759;13 125;12 601;11 259;9976;9487;8957;8793;9154;9337;9159
Produkcja żywca rzeźnego w przeliczeniu na mięso (łącznie z tłuszczami i podrobami) w wadze poubojowej ciepłej;t;337 100;542 800;648 600;843 400;1 323 000;1 207 400;1 150 800;1 267 800;1 259 900;1 377 600;1 529 200;1 662 200;1 783 300;1 713 100;1 755 500;1 915 800;1 942 500;1 818 100;1 840 400;2 015 100;2 086 000;2 129 700;2 160 400;2 240 000;2 186 700;2 214 500;2 485 200;2 734 500;3 066 800;3 067 000;2 901 900;2 890 800;3 149 400;3 264 500;3 148 100;2 532 900;2 579 500;2 509 100;2 535 541;2 802 700;3 134 082;3 128 869;3 202 535;3 171 909;3 325 170;3 348 024;3 211 074;2 953 625;2 694 309;2 958 904;3 104 746;3 020 782;3 241 488
mięsa i tłuszczów;t;311 800;507 900;603 900;792 100;1 245 300;1 136 100;1 080 000;1 191 400;1 185 400;1 295 300;1 437 400;1 566 100;1 675 300;1 604 000;1 646 200;1 800 000;1 818 100;1 691 200;1 702 700;1 881 600;1 944 900;1 974 500;2 005 200;2 078 700;2 031 500;2 061 600;2 327 400;2 565 400;2 873 700;2 867 000;2 714 800;2 708 200;2 963 800;3 070 600;2 961 900;2 382 200;2 415 000;2 350 100;2 371 303;2 623 600;2 939 363;2 932 160;3 005 127;2 979 319;3 113 074;3 150 002;3 037 114;2 799 189;2 552 166;2 808 280;2 946 613;2 862 459;3 071 975
wołowe;t;52 800;64 800;92 600;109 500;162 500;137 100;133 700;144 600;134 600;155 900;187 400;173 200;210 900;239 800;235 500;251 500;305 700;358 400;380 300;345 000;353 700;411 800;452 900;481 400;464 600;455 900;439 100;478 000;633 900;695 400;751 100;698 500;690 100;734 300;697 800;498 700;637 600;617 600;673 523;718 600;748 328;749 878;727 301;675 026;792 474;651 387;492 046;408 496;373 510;372 634;387 957;401 382;419 740
cielęce;t;18 500;25 200;31 400;35 400;57 200;61 600;69 200;70 800;66 400;68 100;65 900;76 900;99 000;98 700;98 200;88 400;89 500;85 000;81 600;88 500;85 900;86 700;89 000;97 300;82 200;73 000;61 500;61 100;65 100;57 100;54 800;40 600;48 700;42 300;43 700;45 700;60 000;56 800;51 075;38 400;38 255;36 236;33 543;44 596;63 320;58 513;53 728;50 086;49 074;46 024;46 384;44 619;52 749
baranie;t;2000;2600;4800;5800;4600;9600;10 800;11 500;14 500;23 000;26 000;28 000;27 700;30 900;27 500;26 000;24 700;21 800;19 400;19 600;20 200;21 900;23 800;23 700;23 000;23 300;24 600;24 500;23 200;21 600;21 400;23 500;26 000;27 900;26 600;23 600;23 600;24 200;27 990;34 500;38 738;42 207;41 225;38 380;43 778;47 970;38 360;23 754;11 473;8041;6150;3810;3657
wieprzowe;t;200 500;372 200;422 200;582 700;957 800;848 900;776 000;865 500;877 600;965 500;1 084 800;1 217 900;1 263 900;1 142 500;1 177 200;1 319 600;1 284 300;1 119 600;1 101 600;1 306 500;1 345 100;1 312 900;1 285 800;1 308 900;1 278 800;1 312 800;1 590 100;1 771 400;1 885 500;1 792 800;1 542 800;1 548 400;1 766 200;1 795 400;1 711 500;1 337 400;1 462 000;1 396 200;1 288 333;1 474 800;1 728 132;1 714 088;1 807 451;1 819 213;1 840 949;2 011 259;2 068 597;1 974 645;1 735 917;2 008 177;2 072 341;1 895 012;2 028 905
końskie;t;1200;1400;1600;5300;5000;17 600;21 500;25 700;20 300;15 000;6000;2500;3900;17 500;26 600;24 700;21 400;17 400;19 400;14 200;17 400;14 600;19 700;22 800;35 200;37 400;32 200;27 300;37 100;43 300;49 500;55 500;53 800;50 900;42 700;25 900;23 300;41 900;54 083;60 000;48 760;44 688;28 974;21 594;21 125;16 669;41 821;36 894;33 821;23 094;27 654;29 297;30 791
drobiowe;t;19 000;21 300;26 000;29 100;33 400;36 300;44 000;48 100;48 300;45 500;46 700;49 300;51 300;55 000;62 300;70 800;75 000;72 900;81 800;88 700;103 500;107 400;114 300;123 700;127 900;138 500;158 600;181 200;206 200;235 600;276 800;320 400;358 300;398 400;418 900;432 200;186 800;189 100;255 392;275 600;315 314;325 335;347 189;362 003;332 149;343 236;322 188;288 705;332 324;334 561;390 152;473 844;519 329
kozie, królicze, dziczyzna;t;17 800;20 400;25 300;24 300;24 800;25 000;24 800;25 200;23 700;22 300;20 600;18 300;18 600;19 600;18 900;19 000;17 500;16 100;18 600;19 100;19 100;19 200;19 700;20 900;19 800;20 700;21 300;21 900;22 700;21 200;18 400;21 300;20 700;21 400;20 700;18 700;21 700;24 300;20 907;21 700;21 836;19 728;19 444;18 507;19 279;20 968;20 374;16 609;16 047;15 749;15 975;14 495;16 804
podrobów;t;25 300;34 900;44 700;51 300;77 700;71 300;70 800;76 400;74 500;82 300;91 800;96 100;108 000;109 100;109 300;115 800;124 400;126 900;137 700;133 500;141 100;155 200;155 200;161 300;155 200;152 900;157 800;169 100;193 100;200 000;187 100;182 600;185 600;193 900;186 200;150 700;164 500;159 000;164 238;179 100;194 719;196 709;197 408;192 590;212 096;198 022;173 960;154 436;142 143;150 624;158 133;158 323;169 513
Produkcja mięsa, tłuszczów i podrobów (ubój przemysłowy i gospodarczy) w wadze schłodzonej;t;.;.;.;.;1 138 500;1 123 900;1 113 300;1 197 200;1 222 500;1 341 100;1 476 000;1 607 600;1 682 600;1 629 600;1 665 300;1 787 700;1 837 900;1 759 700;1 781 600;1 960 300;2 012 500;2 067 000;2 090 900;2 167 700;2 080 800;2 125 200;2 365 100;2 605 500;2 909 500;2 916 200;2 798 600;2 770 000;3 045 700;3 130 400;3 031 900;2 473 000;2 499 000;2 407 000;2 435 000;2 696 000;3 015 000;2 999 000;3 059 000;3 026 000;3 099 000;3 147 000;3 079 000;2 845 000;2 628 000;2 858 000;3 012 000;2 930 000;3 119 000
mięso;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 698 600;1 748 500;1 942 200;2 140 400;2 395 500;2 405 500;2 350 100;2 330 000;2 563 400;2 622 400;2 562 700;2 094 000;2 090 000;1 985 000;2 016 000;2 221 000;2 484 000;2 466 000;2 513 000;2 488 000;2 552 000;2 593 000;2 530 000;2 336 000;2 171 000;2 353 000;2 487 000;2 476 000;2 638 000
wołowe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;412 200;398 700;375 400;411 300;543 000;593 700;688 200;639 500;619 200;655 600;625 700;453 000;584 000;559 000;604 000;645 000;674 000;663 000;625 000;573 000;652 000;586 000;477 000;418 000;363 000;329 000;353 000;369 000;367 000
cielęce;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;78 400;69 800;59 500;58 300;60 500;54 900;52 100;37 500;45 500;39 800;40 900;44 000;56 000;51 000;46 000;35 000;32 000;27 000;22 000;29 000;40 000;50 000;47 000;44 000;42 000;39 000;43 000;37 000;40 000
wieprzowe;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 033 800;1 080 900;1 287 100;1 429 200;1 529 400;1 461 500;1 265 900;1 269 800;1 481 600;1 470 700;1 418 000;1 116 000;1 219 000;1 133 000;1 057 000;1 204 000;1 401 000;1 398 000;1 478 000;1 498 000;1 498 000;1 573 000;1 644 000;1 537 000;1 358 000;1 637 000;1 684 000;1 577 000;1 690 000
baranie;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;20 500;21 000;21 800;20 800;19 100;16 100;15 700;16 900;18 600;19 500;17 700;17 000;17 000;17 000;20 000;25 000;30 000;29 000;26 000;22 000;28 000;32 000;22 000;17 000;8000;6000;5000;3000;1000
końskie;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19 000;18 900;15 600;12 800;14 600;15 400;18 300;20 000;19 600;20 300;21 000;12 000;10 000;16 000;19 000;23 000;18 000;15 000;11 000;8000;3000;4000;3000;4000;6000;4000;4000;5000;7000
drobiowe;t;.;.;.;.;33 000;36 000;43 000;47 000;48 000;45 000;46 000;49 000;50 000;54 000;61 000;70 000;74 000;72 000;80 000;87 000;102 000;106 000;112 000;122 000;115 200;138 500;161 500;184 700;206 200;234 800;280 500;325 000;358 900;396 700;418 900;431 000;183 000;185 000;249 000;269 000;307 000;314 000;331 000;340 000;311 000;326 000;315 000;299 000;372 000;322 000;381 000;470 000;516 000
kozie, królicze i dziczyzna;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;19 500;20 700;21 300;23 300;22 700;29 100;29 400;21 300;20 000;19 800;20 500;21 000;21 000;24 000;21 000;20 000;22 000;20 000;20 000;18 000;20 000;22 000;22 000;17 000;22 000;16 000;17 000;15 000;17 000
podrobów;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;142 300;140 500;143 600;153 100;174 700;177 200;173 600;166 400;180 100;183 500;176 500;146 000;158 000;151 000;156 000;171 000;185 000;183 000;181 000;175 000;188 000;184 000;168 000;153 000;140 000;145 000;153 000;152 000;159 000
tłuszczów;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;239 900;236 200;279 300;312 000;339 300;333 500;274 900;273 600;302 200;324 500;292 700;233 000;251 000;271 000;263 000;304 000;346 000;350 000;365 000;363 000;359 000;370 000;381 000;356 000;317 000;360 000;372 000;302 000;322 000
