﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
jałówki;szt.;216 656;319 442;578 631;665 500;737 300;704 500;619 200;527 200;590 300;552 700;642 600;709 874;641 326;575 114;873 844;973 589;1 104 588;1 140 410;1 154 200;1 094 113;1 176 300;1 223 057;1 220 600;1 190 430;1 166 666;1 154 323;1 241 680;1 348 614;1 416 572;1 352 902;1 425 377;1 416 777;1 413 563;1 418 925;1 423 528;1 312 229;1 395 388;1 221 890;1 143 970;1 069 285;1 105 420;1 057 944;1 061 960;1 173 164;1 128 961;950 679;792 097;702 404;738 052;683 839;662 267;728 912;.
krowy;szt.;2 748 104;3 079 221;3 646 975;4 761 200;4 850 000;5 100 000;5 140 000;5 260 000;5 351 200;5 454 700;5 599 600;5 766 644;5 931 436;6 024 943;5 884 742;5 915 350;6 022 399;6 070 274;6 013 100;5 920 307;6 013 600;6 142 521;6 193 800;6 250 162;6 081 818;6 041 025;5 993 254;6 065 333;6 237 208;6 145 558;5 989 312;6 007 665;6 081 722;6 048 895;5 955 577;5 757 065;5 834 978;5 775 935;5 758 689;5 528 087;5 206 868;4 936 478;4 805 631;4 993 804;4 919 098;4 577 330;4 256 763;3 982 839;3 863 463;3 578 900;3 461 217;3 489 695;.
pozostałe;szt.;82 623;93 677;115 553;107 700;111 300;106 900;92 600;93 100;92 000;104 200;112 400;108 033;84 864;77 533;84 270;125 279;196 440;267 199;297 400;335 897;392 000;409 063;492 600;497 133;479 731;524 896;574 271;679 392;836 084;1 061 542;1 192 213;1 180 665;1 180 967;1 169 091;984 833;896 327;834 728;754 425;723 217;743 776;799 423;823 552;804 662;981 047;859 537;654 639;560 402;531 220;532 936;553 325;496 943;676 528;.
cielęta w wieku poniżej roku;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 798 690;.
młode bydło w wieku 1 - 2 lat;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 235 430;.
bydło w wieku 2 lat i więcej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 921 131;.
krowy;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3 541 680;.
pozostałe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;379 451;.
Trzoda chlewna;szt.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(stan w lipcu);szt.;2 674 122;4 700 000;5 100 000;6 120 000;9 350 000;8 450 000;8 648 000;9 730 000;9 788 197;10 888 300;11 560 600;12 325 386;11 958 897;11 209 122;12 615 277;13 434 040;13 616 654;11 653 162;12 918 300;13 779 108;14 251 100;14 232 624;13 911 401;14 356 510;13 446 149;15 242 813;17 346 828;19 781 857;21 496 322;21 310 808;18 847 506;20 051 112;21 717 321;21 223 780;21 325 623;18 479 690;19 471 286;15 587 150;16 656 676;17 613 743;18 948 525;18 545 883;19 605 002;18 834 989;19 464 225;21 867 586;22 085 827;18 860 096;19 466 498;20 417 818;17 963 911;18 134 775;19 167 722
gospodarstwa państwowe;szt.;—;—;—;551 800;642 800;994 700;1 547 700;1 567 100;1 708 300;1 741 500;1 693 376;1 298 228;1 014 962;1 187 154;1 405 131;1 396 251;1 292 039;1 366 800;1 514 269;1 520 186;1 533 696;1 513 800;1 574 929;1 562 460;1 779 640;2 046 198;2 445 094;2 815 180;3 080 489;3 230 800;3 467 705;4 096 687;4 167 844;4 399 313;3 716 710;3 776 161;3 558 022;3 766 082;3 901 145;4 259 432;4 336 619;4 559 610;4 563 779;4 487 808;4 380 643;3 834 849;2 164 149;1 202 505;888 016;702 677;605 247;567 481;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 645 494;1 168 443;1 060 630;864 031;859 491;870 876;979 615;982 263;1 061 040;1 065 778;1 027 915;1 077 739;1 054 517;939 525;856 478;895 356;774 764;746 150;744 451;.
spółdzielnie produkcyjne;szt.;—;—;—;40 200;177 700;249 900;605 500;738 397;933 600;1 036 900;142 785;124 203;118 282;143 420;150 400;138 580;114 783;116 100;124 368;126 000;124 888;118 400;114 811;111 702;144 022;196 938;258 780;339 551;444 217;512 677;643 473;893 378;965 856;1 097 067;939 530;922 181;777 403;770 056;785 011;893 316;906 451;991 033;998 944;971 892;1 021 800;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;102;178;282;600;866;1514;1340;1201;1233;1546;9469;28 746;77 986;349 395;799 120;937 388;966 863;1 050 731;687 830;548 427;228 913;138 449;86 628;89 435;85 865;86 299;75 812;70 007;66 834;56 023;55 939;.;.;—;.;.;.;.;.
gospodarstwa indywidualne;szt.;—;—;—;8 758 000;7 629 500;7 403 400;7 576 800;7 482 700;8 246 400;8 782 200;10 489 225;10 536 466;10 075 878;11 284 703;11 878 407;12 081 645;10 246 058;11 434 800;12 139 605;12 603 400;12 572 700;12 278 000;12 665 537;11 770 441;13 309 682;15 074 946;16 999 997;17 992 196;16 986 982;14 166 641;14 973 071;15 676 525;15 402 250;15 280 816;13 594 537;14 634 495;11 165 097;12 031 103;12 841 722;13 709 478;13 227 001;13 984 352;13 205 432;13 948 502;16 398 472;17 167 069;15 458 954;16 758 574;17 690 145;15 439 485;15 822 787;16 877 580;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 732;29 392;297 468;648 941;944 301;1 046 985;960 591;978 210;.
(stan w czerwcu);szt.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
poniżej 3 miesięcy;szt.;1 899 086;3 335 100;3 487 100;4 193 400;6 081 100;4 853 300;5 890 800;6 724 600;5 711 097;6 526 500;6 604 700;7 147 650;6 894 213;6 457 854;4 646 220;4 743 163;4 899 391;3 966 008;5 105 200;5 126 871;5 445 100;5 440 146;5 318 401;5 464 034;5 466 239;6 264 906;6 959 895;8 163 676;8 350 957;8 317 984;6 697 208;7 692 953;7 594 115;7 435 874;7 548 761;6 773 930;7 295 243;5 411 648;6 175 431;6 655 780;7 207 882;6 831 431;7 461 043;6 507 453;6 731 840;8 139 906;8 373 341;6 540 321;7 480 789;7 398 994;6 531 671;6 921 996;.
od 3 do 6 miesięcy;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;4 212 842;4 590 701;4 695 287;4 062 755;4 068 800;4 634 263;4 630 500;4 847 784;4 624 800;4 929 021;4 099 302;4 659 431;5 481 904;6 062 707;6 880 350;6 579 333;6 476 136;6 043 103;6 950 432;6 591 856;6 660 017;5 453 692;6 313 471;4 330 603;4 796 267;4 940 749;5 386 488;5 379 147;5 732 680;5 658 574;6 131 488;6 654 080;6 467 845;6 142 713;6 123 490;6 507 652;5 720 076;5 536 075;.;.
6-miesięczna i starsza;szt.;775 036;1 364 900;1 612 900;1 926 600;3 268 900;3 596 700;2 757 200;3 005 400;4 077 100;4 361 800;4 955 900;5 177 736;5 064 684;4 751 268;3 756 215;4 100 176;4 021 976;3 624 399;3 744 300;4 017 974;4 175 500;3 944 694;3 968 200;3 963 455;3 880 608;4 318 476;4 905 029;5 555 474;6 265 015;6 413 491;5 674 162;6 315 056;7 172 774;7 196 050;7 116 845;6 252 068;5 862 572;5 844 899;5 684 978;6 017 214;6 354 155;6 335 305;6 411 279;6 668 962;6 600 897;7 073 600;7 244 641;6 177 062;5 862 219;6 511 172;5 712 164;5 676 704;.
lochy;szt.;584 430;888 200;1 011 700;1 249 000;1 430 000;1 475 000;1 480 000;1 355 000;1 460 300;1 679 000;1 642 300;1 732 883;1 640 875;1 512 951;1 562 200;1 475 011;1 533 927;1 353 792;1 642 800;1 681 092;1 703 600;1 622 077;1 580 900;1 612 131;1 504 873;1 758 652;2 032 542;2 173 568;2 222 220;2 034 691;1 759 748;2 224 023;2 196 328;2 312 523;2 426 961;2 183 831;1 962 144;1 612 909;1 764 890;1 934 835;1 971 005;1 951 876;2 040 625;1 803 751;1 836 731;2 096 245;2 141 776;1 557 817;1 971 193;1 875 154;1 677 449;1 756 350;.
pozostała;szt.;190 606;476 700;601 200;677 600;1 838 900;2 121 700;1 277 200;1 650 400;2 616 800;2 682 800;3 313 600;3 444 853;3 423 809;3 238 317;2 194 015;2 625 165;2 488 049;2 270 607;2 101 500;2 336 882;2 471 900;2 322 617;2 387 300;2 351 324;2 375 735;2 559 824;2 872 487;3 381 906;4 042 795;4 378 800;3 914 414;4 091 033;4 976 446;4 883 527;4 689 884;4 068 237;3 900 428;4 231 990;3 920 088;4 082 379;4 383 150;4 383 429;4 370 654;4 865 211;4 764 166;4 977 355;5 102 865;4 619 245;3 891 026;4 636 018;4 034 715;3 920 354;.
(stan w lipcu);szt.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prosięta o wadze do 20 kg;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6 685 378;.
warchlaki o wadze od 20-50 kg;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4 715 880;.
o wadze 50 kg i więcej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7 766 464;.
na ubój;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;5 777 595;.
na chów;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 988 869;.
lochy;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 928 979;.
pozostałe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;59 890;.
Owce (stan w czerwcu);szt.;777 073;982 819;1 410 437;1 945 400;2 198 500;2 574 000;2 895 000;3 330 000;4 170 400;4 243 164;4 222 983;4 039 584;3 882 309;3 778 405;3 661 460;3 493 947;3 250 959;3 056 300;3 021 500;3 060 600;3 164 200;3 321 238;3 328 400;3 238 626;3 199 231;3 179 708;3 109 933;3 049 966;3 022 538;3 174 458;3 429 888;3 933 711;4 247 898;4 221 454;4 206 529;3 885 785;3 898 849;4 103 455;4 533 642;4 837 261;4 991 100;4 738 926;4 376 505;4 409 021;4 158 465;3 233 669;1 869 566;1 267 880;869 604;713 172;551 570;490 831;452 913
gospodarstwa państwowe;szt.;—;—;—;140 500;213 100;274 000;326 900;410 700;438 700;444 400;446 854;393 915;363 626;380 721;388 817;395 565;385 427;385 467;418 894;434 397;449 652;458 872;456 999;437 193;458 013;472 667;524 375;583 363;665 756;768 074;918 495;1 016 241;1 084 947;1 121 013;1 010 523;961 939;1 006 635;1 123 045;1 199 639;1 311 877;1 277 717;1 206 588;1 173 137;1 137 254;905 761;396 683;230 248;111 560;82 944;62 403;50 249;46 047;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;443 712;363 348;330 407;326 043;344 797;342 629;345 982;317 179;281 360;266 338;240 406;172 476;74 520;55 391;37 379;30 371;22 683;22 347;19 679;.
spółdzielnie produkcyjne;szt.;—;—;—;10 900;76 600;120 300;283 900;454 400;554 764;578 883;57 364;48 711;47 399;52 753;47 567;38 414;33 936;31 780;32 131;34 100;36 335;34 880;35 726;37 973;40 508;42 553;43 891;51 355;63 698;113 385;181 518;245 035;288 480;321 882;296 101;280 079;282 407;310 797;312 876;316 561;292 833;260 288;248 400;224 192;161 345;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;840;2426;3320;3353;4042;5903;7443;8468;7825;8091;9694;13 056;17 914;23 374;39 705;85 355;139 756;158 438;146 101;121 830;67 247;50 328;43 636;34 000;29 753;29 421;24 346;21 072;17 938;16 214;11 131;.;.;—;.;.;.;.;.
gospodarstwa indywidualne;szt.;—;—;—;2 047 100;2 284 300;2 500 700;2 719 200;3 305 300;3 249 700;3 199 700;3 535 366;3 439 683;3 367 380;3 227 986;3 056 723;2 814 554;2 633 617;2 600 900;2 605 533;2 689 800;2 827 808;2 826 180;2 738 076;2 715 974;2 671 493;2 581 657;2 463 786;2 364 446;2 405 299;2 463 074;2 693 942;2 828 184;2 701 926;2 641 804;2 511 914;2 606 503;2 770 777;3 065 800;3 294 993;3 333 241;3 144 030;2 888 557;2 969 546;2 780 805;2 145 923;1 393 369;950 467;665 151;546 329;426 872;389 012;361 177;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;9509;4994;31 774;55 514;53 528;39 612;29 223;26 010;.
Konie (stan w czerwcu);szt.;1 729 518;2 016 226;2 297 371;2 652 400;2 800 000;2 870 000;2 745 000;2 722 000;2 649 500;2 560 100;2 546 700;2 622 988;2 732 492;2 839 059;2 805 013;2 730 436;2 656 628;2 619 761;2 593 121;2 554 420;2 589 700;2 642 758;2 672 605;2 633 274;2 585 163;2 501 309;2 422 000;2 373 118;2 311 947;2 237 177;2 151 206;2 061 956;1 890 511;1 856 350;1 779 884;1 726 119;1 733 643;1 600 017;1 537 198;1 403 556;1 272 256;1 140 886;1 050 972;972 749;941 157;938 894;899 521;841 267;621 730;635 787;568 840;557 946;560 913
gospodarstwa państwowe;szt.;—;—;—;125 500;146 800;153 500;164 500;175 000;189 600;199 300;199 642;196 537;192 422;173 967;159 664;149 247;135 337;122 600;116 123;110 099;103 816;99 100;91 532;79 720;71 046;63 247;56 865;52 968;49 842;45 487;42 897;38 113;36 406;34 540;32 021;30 815;29 713;29 036;27 605;26 458;25 304;23 687;23 279;22 236;23 148;22 785;22 352;10 488;9912;11 281;11 616;9491;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4441;4030;3651;3431;3382;2711;2333;2042;2017;2165;2104;2206;2125;2028;732;692;782;733;518;.
spółdzielnie produkcyjne;szt.;—;—;—;14 300;56 400;50 500;121 800;137 400;140 100;140 100;18 191;17 392;19 269;21 472;18 022;14 339;11 953;10 500;9792;9300;8995;8500;8131;7565;6852;5880;5131;4552;4048;3894;4066;4179;4307;4272;3929;3565;3359;3326;2670;2304;2019;1995;2147;2087;2181;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;32;61;74;121;163;201;212;205;159;154;179;117;104;133;170;334;252;286;247;169;101;86;72;56;41;29;23;22;18;17;25;.;.;—;.;.;.;.;.
gospodarstwa indywidualne;szt.;—;—;—;2 660 200;2 666 800;2 541 000;2 435 700;2 337 100;2 230 400;2 207 300;2 405 155;2 518 563;2 627 368;2 609 574;2 552 718;2 492 981;2 472 397;2 459 900;2 428 342;2 470 100;2 529 735;2 564 800;2 533 452;2 497 724;2 423 232;2 352 756;2 311 018;2 254 294;2 183 117;2 101 491;2 014 741;1 847 933;1 815 390;1 740 903;1 690 068;1 699 177;1 566 873;1 504 780;1 373 240;1 243 465;1 113 540;1 025 268;947 305;916 817;913 540;874 611;816 887;609 499;624 124;555 308;544 195;550 015;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1011;1059;1469;1402;889;.
Zwierzęta gospodarskie - bydło, trzoda chlewna, owce i konie w przeliczeniowych sztukach dużych (stan w czerwcu);szt.;5 317 193;6 596 558;7 773 581;9 383 200;10 138 400;10 103 400;10 075 400;10 355 900;10 600 500;10 862 600;11 301 500;11 405 800;11 405 100;11 505 500;11 946 100;12 359 800;12 630 800;12 485 500;12 724 100;12 824 200;13 293 500;13 657 300;13 777 600;13 885 000;13 532 900;13 903 000;14 434 300;15 338 300;16 196 800;16 291 200;15 555 900;15 799 800;15 977 000;15 806 200;15 434 100;14 246 600;14 495 600;13 281 900;13 355 700;13 276 788;13 249 057;12 720 023;12 599 492;12 736 781;12 232 611;11 552 926;10 939 047;9 885 773;9 767 815;9 599 989;9 016 725;9 163 334;9 036 505
gospodarstwa państwowe;szt.;—;—;—;—;512 195;613 114;722 198;895 200;975 200;1 083 500;1 161 200;1 164 000;1 074 800;1 032 100;1 107 400;1 230 500;1 354 500;1 382 400;1 426 200;1 482 500;1 527 100;1 567 700;1 628 000;1 684 800;1 697 300;1 820 700;1 957 300;2 223 500;2 459 700;2 583 500;2 712 900;2 850 300;3 017 100;3 092 200;3 114 200;2 688 500;2 529 100;2 324 700;2 264 100;2 219 062;2 239 242;2 196 680;2 192 156;2 166 859;2 017 873;1 792 167;1 408 618;884 467;526 972;374 696;308 290;286 990;259 624
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;705 800;538 300;496 200;429 200;400 500;376 940;384 934;364 755;362 183;357 403;327 326;302 275;270 403;241 476;214 320;212 385;190 838;186 508;178 644
spółdzielnie produkcyjne;szt.;—;—;—;—;49 905;212 486;249 902;550 600;692 400;801 400;870 900;107 600;97 500;103 000;120 800;119 400;110 300;101 700;102 600;108 000;115 500;125 400;128 500;132 100;136 100;150 900;173 500;202 900;251 400;285 500;312 900;384 100;458 500;494 100;540 200;467 800;450 300;398 800;376 300;357 040;365 934;348 855;347 683;344 203;316 426;291 858;.;.;.;.;.;.;.
kółka rolnicze;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1100;2600;3100;4100;6000;6300;6900;6000;6300;6800;10 500;16 900;32 200;93 700;196 000;282 700;333 500;336 500;228 600;165 600;70 500;45 900;30 400;24 200;19 900;19 000;15 900;14 500;13 200;10 900;10 417;.;.;—;.;.;.;.
gospodarstwa indywidualne;szt.;—;—;—;—;9 576 300;9 277 800;9 103 300;8 910 100;8 932 900;8 977 700;9 269 400;10 134 200;10 232 800;10 370 400;10 717 900;11 008 800;11 163 400;10 998 300;11 191 200;11 227 700;11 644 600;11 957 300;12 015 100;12 061 800;11 692 700;11 920 900;12 286 600;12 879 700;13 392 000;13 226 200;12 247 400;12 231 900;12 164 900;11 991 300;11 614 100;11 019 800;11 470 300;10 528 000;10 691 100;10 680 786;10 624 881;10 158 588;10 045 153;10 212 519;9 887 412;9 454 814;9 249 435;8 656 383;8 797 046;8 714 992;8 181 473;8 370 680;8 293 986
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3670;10 591;103 447;229 477;297 916;336 124;319 156;304 251
